"XCO2Dpp" "XCH4Dpp" "TempC" "SPCuScm" "ChlARFU" "ChlAugL" "BGAPCRFU" "BGAPCgL" "TurbFNU" "fDOMRFU" "fDOMQSU" "ODOsat" "ODOmgL" "pH" "Pressps" "XCO2Dppm_h" "XCO2Dppm_t" "XCH4Dppm_h" "XCH4Dppm_t" "TmpC_hy" "TempC_t" "SPCScm_h" "SPCScm_t" "ChlARFU_h" "ChlARFU_t" "ChlAgL_h" "ChlAgL_t" "BGAPCRFU_h" "BGAPCRFU_t" "BGAPCgL_h" "BGAPCgL_t" "TrbFNU_h" "TrbFNU_t" "fDOMRFU_h" "fDOMRFU_t" "fDOMQSU_h" "fDOMQSU_t" "ODOst_h" "ODOst_t" "ODOmgL_h" "ODOmgL_t" "pH_hyd" "pH_tau" "CH4uM" "CH4Sat" "CH4M_hy" "CH4St_h" "CH4uM_t" "CH4St_t" "CO2uM" "CO2Sat" "CO2M_hy" "CO2St_h" "CO2uM_t" "CO2St_t" "Date" "Statistic" "Lake" "LakeDay" "Depth" "NITRATEU" "NITRATEM" "ABS254" "ABS350" "TINT" "TSPEC" "TLAMP"
"1" 347.7 182.343 23.561 95.1 0.46 1.7 0.24 0.27 0.75 0.48 1.21 95.1 8.06 7.67 3.158 348.224 315.4515 181.976 49.7599999999999 23.561 23.5562 95.1 94.84 0.26 0.25 0.85 0.835 -0.07 -0.084 -0.03 -0.034 0.21 0.21 0.42 -4.4 1.54 -12.628 95.1 95.06 8.06 8.04266 7.68 7.68 0.243374221334705 8496.0784797059 0.242889051239822 8478.97850437341 0.06681754036475 2318.5143666067 11.4165531460347 77.3584013496822 11.3889975237057 77.4749840425417 10.3506595713713 70.1835598025864 2015-07-20 "Min" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"2" 538.629 231.304 23.7345 95.4 0.58 2.2 0.28 0.31 2.065 12.3 35.92 98.1 8.28 7.78 3.388 541.25325 544.9195 226.9285 206.849 23.735 23.7296 95.4 95.38 0.36 0.36 1.26 1.265 -0.03 -0.03 0.02 0.017 1.5625 1.57975 11.57 11.54 34.28 34.22 98.3 98.5275 8.31 8.31431 7.78 7.78 0.31264375613872 10783.9806288918 0.30656031714833 10573.4925129121 0.279094017831588 9637.90953010909 17.9215670342493 119.907079494393 17.988771628277 120.421300389186 18.0848718211398 121.236989888606 2015-07-20 "Q25" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"3" 571.252 266.639 23.795 95.5 0.61 2.33 0.29 0.32 2.55 13.18 38.52 99.6 8.41 7.8 3.805 573.7825 573.711 265.397 253.268000000001 23.797 23.7972 95.5 95.5 0.39 0.39 1.39 1.38 -0.02 -0.02 0.03 0.029 2.04 2.028 12.435 12.42 36.825 36.786 99.6 99.63 8.41 8.42468 7.795 7.8 0.35865366677359 12428.9330243637 0.35668310509505 12365.8914259308 0.341189514185289 11800.7535490705 19.0161529182909 127.114737734612 19.0597692297838 127.658604896244 19.045330727205 127.642697143306 2015-07-20 "Median" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"4" 553.046647323662 302.206021010505 23.8580710355178 95.9406703351676 0.60847923961981 2.32093046523262 0.291905952976488 0.319374687343672 2.45989494747374 13.4860762669343 39.4058605117913 99.6536768384192 8.40929964982491 7.82053026513257 3.68052576288144 553.778920180723 553.47268945869 298.185344237544 274.442182871537 23.8584051076615 23.8594769153731 95.9353530295443 95.9260240360541 0.388452679018528 0.388366716741779 1.3806209313971 1.38015857119012 -0.0181572358537807 -0.0184364880654315 0.0292789183775664 0.0290031714238024 1.9476026026026 1.95319119119119 12.7247985901309 12.724614379085 37.6845770392749 37.6840774258421 99.7249498997996 99.7723121242485 8.41377566349524 8.42120277916875 7.8202755511022 7.82063753761284 0.406875823234364 14085.7376857949 0.401320951537194 13893.6295121847 0.369265918239603 12787.3421179775 18.3347822934599 123.086672717172 18.3554293808689 123.208087334869 18.3478363923977 123.139955269581 2015-07-20 "Mean" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"5" 600.014 308.8525 23.9595 95.9 0.64 2.45 0.3 0.33 2.86 14.86 43.43 101.2 8.53 7.82 3.924 599.7725 598.836 307.536 307.16 23.959 23.9612 95.9 95.88 0.42 0.42 1.51 1.515 -0.01 -0.006 0.04 0.041 2.34 2.34575 14.13 13.962 41.8075 41.326 101.2 101.2225 8.53 8.54303 7.8125 7.82 0.416207501769 14394.0789633911 0.412837959386497 14329.3133892435 0.413105164726815 14311.7940684669 19.9200566622107 133.497862654723 19.9103046756197 133.441017467651 19.9216741771503 133.232659277073 2015-07-20 "Q75" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"6" 813.264 662.81 24.7 99.1 0.74 2.84 0.34 0.36 4.63 20.66 60.48 107.3 8.97 8.09 4.151 814.434 818.6405 662.927 766.221000000001 24.697 24.669 99.1 99.18 0.52 0.53 1.91 1.935 0.03 0.037 0.07 0.084 4.11 4.038 20.19 27.796 59.62 81.97 107.3 107.54 8.97 9.05771 8.09 8.335 0.88822587310919 30882.9282019812 0.886606730105722 30888.3796927548 1.01622655993054 35701.2539488696 26.4705712728857 180.93989909476 26.4210512904172 181.200207779198 26.5296587214586 182.136095369872 2015-07-20 "Max" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"7" 385.8854 192.4063 23.6239 95.3 0.53 1.99 0.27 0.3 1.13 10.84 31.64 95.8 8.11 7.75 3.184 387.9179 379.6232 192.2679 173.5602 23.6268 23.6262 95.3 95.22 0.31 0.305 1.05 1.039 -0.04 -0.047 0.01 0.002 0.62 0.62685 10.0875 9.2804 29.93 27.5588 95.8 95.8 8.11 8.104182 7.75 7.75 0.259369797719159 8964.9346425961 0.258988784011587 8958.51865730105 0.233501428260801 8086.8532389697 12.7167152966912 86.011818472992 12.7969031658821 86.3063232640952 12.4401561992093 84.4608681830621 2015-07-20 "Q05" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"8" 414.4714 198.2992 23.648 95.3 0.55 2.08 0.28 0.3 1.36 11.19 32.652 96 8.12 7.76 3.208 418.5632 418.4106 196.975 183.3326 23.649 23.6454 95.3 95.3 0.33 0.33 1.14 1.14 -0.03 -0.04 0.01 0.006 0.86 0.8694 10.46 10.4276 31.025 30.9316 96.1 96.07 8.12 8.12 7.76 7.76 0.266194531759716 9237.68623824004 0.265214784295569 9177.84098397015 0.247172235890221 8542.18784098392 13.7101903730235 92.2297252486035 13.8229645278693 93.1244751676943 13.7941124011774 93.0905237956898 2015-07-20 "Q10" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"9" 613.323 477.7768 24.164 97.7 0.67 2.56 0.31 0.34 3.26 16.68 48.796 103.2 8.66 7.96 3.995 612.7241 618.7039 464.0318 387.4094 24.1644 24.18848 97.7 97.78 0.45 0.45 1.62 1.625 0 0.004 0.05 0.051 2.75 2.7255 15.865 16.1164 46.915 47.64 103.2 103.185 8.66 8.668128 7.96 7.96 0.646926990493249 22292.5715476493 0.627446832044253 21621.0690285845 0.522489531541387 18050.9296555161 20.3538832167329 136.45848458961 20.3355038208916 136.322567858564 20.5571571135163 137.652989970704 2015-07-20 "Q90" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"10" 625.002 562.7057 24.2945 98.3 0.68 2.61 0.31 0.34 3.56 17.922 52.432 104.4 8.75 8.01 4.035 622.5339 627.3094 553.6005 493.393600000001 24.293 24.32224 98.3 98.3 0.46 0.465 1.672 1.685 0 0.011 0.05 0.058 3.0215 3.04635 17.0875 17.4592 50.4975 51.6036 104.4 104.5525 8.76 8.779394 8.01 8.01 0.752062063036426 26218.8470282282 0.74003290441387 25794.4275042334 0.661257431786618 22989.1509242725 20.7332917409864 139.066021155092 20.6983486920788 138.505111561642 20.8324640799185 139.567593717654 2015-07-20 "Q95" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
