Project,Event,Location,Sample Name,Date,Sample ID,Bottle Type ID,Depth,Rep,Sta,Test,Value,Flags
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,0,,1,1,TIC,8.29,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,0,,1,1,TOC,13.94,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,1,,1,1,DIC,8.16,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,1,,1,1,DOC,13.59,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Total N (F),964,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,2,,1,1,Total N (UF),1162,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Total P (F),67,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,2,,1,1,Total P (UF),67,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Ca,11.74,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Mg,3.83,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Na,3.58,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,K,0.92,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Fe,0.69,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,3,,1,1,Mn,0.09,E
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,4,,1,1,Cl,4.12,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,4,,1,1,SO4,2.79,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,6,,1,1,NH4,12,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,6,,1,1,NO3 NO2,333,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,7,,1,1,SRP,37,
flame2015,ChippewaRiver,LowerChippewa,1,2015-07-09,14976,11,,1,1,Color,,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,0,,1,1,TIC,8.43,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,0,,1,1,TOC,13.92,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,1,,1,1,DIC,8.11,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,1,,1,1,DOC,13.92,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Total N (F),857,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,2,,1,1,Total N (UF),1151,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Total P (F),151,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,2,,1,1,Total P (UF),197,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Ca,11.58,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Mg,3.87,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Na,3.75,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,K,1.3,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Fe,1.37,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,3,,1,1,Mn,0.1,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,4,,1,1,Cl,4.81,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,4,,1,1,SO4,2.87,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,6,,1,1,NH4,10,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,6,,1,1,NO3 NO2,358,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,7,,1,1,SRP,78,
flame2015,ChippewaRiver,LowerChippewa,2,2015-07-09,14977,11,,1,1,Color,,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,0,,1,1,TIC,21.8,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,0,,1,1,TOC,5.24,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,1,,1,1,DIC,21.3,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,1,,1,1,DOC,5.32,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Total N (F),1574,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,2,,1,1,Total N (UF),1814,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Total P (F),78,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,2,,1,1,Total P (UF),135,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Ca,26.26,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Mg,11.12,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Na,5.8,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,K,1.71,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Fe,0.09,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,3,,1,1,Mn,0.02,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,4,,1,1,Cl,9.81,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,4,,1,1,SO4,6.23,
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,6,,1,1,NH4,53,E
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,6,,1,1,NO3 NO2,1195,E
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,7,,1,1,SRP,62,E
flame2015,ChippewaRiver,LowerChippewa,3,2015-07-10,14978,11,,1,1,Color,,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,0,,1,1,TIC,11.02,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,0,,1,1,TOC,12.03,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,1,,1,1,DIC,10.86,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,1,,1,1,DOC,11.81,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Total N (F),976,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,2,,1,1,Total N (UF),888,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Total P (F),64,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,2,,1,1,Total P (UF),66,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Ca,14.81,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Mg,5.35,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Na,4.14,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,K,1.19,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Fe,0.42,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,3,,1,1,Mn,0.01,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,4,,1,1,Cl,5.71,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,4,,1,1,SO4,3.69,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,6,,1,1,NH4,15,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,6,,1,1,NO3 NO2,567,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,7,,1,1,SRP,51,
flame2015,ChippewaRiver,LowerChippewa,4,2015-07-10,14979,11,,1,1,Color,,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,0,,1,1,TIC,12.01,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,0,,1,1,TOC,11.33,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,1,,1,1,DIC,11.52,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,1,,1,1,DOC,11.29,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Total N (F),1144,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,2,,1,1,Total N (UF),1046,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Total P (F),71,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,2,,1,1,Total P (UF),125,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Ca,15.39,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Mg,5.77,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Na,4.27,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,K,1.37,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Fe,0.37,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,3,,1,1,Mn,0.02,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,4,,1,1,Cl,5.89,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,4,,1,1,SO4,3.91,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,6,,1,1,NH4,8,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,6,,1,1,NO3 NO2,572,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,7,,1,1,SRP,49,
flame2015,ChippewaRiver,LowerChippewa,5,2015-07-10,14980,11,,1,1,Color,,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,3,,1,1,Total N (F),191,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,2,,1,1,Total N (UF),161,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,3,,1,1,Total P (F),11,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,2,,1,1,Total P (UF),10,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,3,,1,1,Ca,17.47,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,3,,1,1,Mg,4.09,
flame2015,ColumbiaRiver_2016,CR,1,2016-07-12,16872,3,,1,1,Na,2.05,
