"LakeName","Latitude","Longitude","XCO2Dppm","XCH4Dppm","BGAPCRFU","BGAPCugL","TurbFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","DOC","TotalNF","TotalNUF","TotalPF","TotalPUF","NH4","NO3NO2","SRP","Cl"
"AlderLake",46.0897410716783,-89.8223032546167,606.009633333333,189.3974,-0.014,0.033,0.723833333333333,10.3741666666667,30.7773333333333,95.96,8.10883333333333,7.77416666666667,5.36,221,277,9,10,5,1,2,2.65
"AllequashLake",46.039125504205,-89.6188357116189,311.976808771929,386.920275877193,-0.03975,0.00741666666666669,0.48425,6.66316666666667,19.8779166666667,102.835833333334,8.59866666666666,8.165,4.595,259.5,316.5,10,8.5,6.5,1.5,1,0.3
"AverillLake",46.204231146723,-89.761144853197,190.424366666667,1324.73983333333,0.00366666666666667,0.0511666666666667,1.6095,6.565,19.5923333333333,109.276666666667,9.09366666666667,8.57516666666667,5.67,355,580,9,27,3,3,NA,1.6
"BallardLake",46.0628866883333,-89.5005645461667,316.497118644068,735.50186440678,-0.0255,0.0216666666666667,0.132,3.87033333333333,11.6738333333333,96.47,8.605,7.875,5.28,368,597,67,14,13,2,5,0.31
"BigMuskellungeLake",46.0161136966198,-89.6071109643672,259.932241666667,231.031183333334,-0.063,-0.0151666666666667,-0.00433333333333335,0.633083333333334,2.16633333333333,101.945,8.785,7.83641666666666,3.955,283.5,310.5,17,18,8,3,1,0.345
"BigStGermainLake",45.9347408968024,-89.5178190681617,380.374315789474,71.4570596491228,0.173666666666667,0.222583333333333,1.66016666666667,4.9605,14.8781666666667,98.7416666666665,8.8635,7.83575,3.89,198,328,7,33,5.5,1,2.5,4.18
"BlackOakLake",46.1626975871623,-89.315347165335,293.01175,37.4793816666667,-0.0801666666666667,-0.033,-0.0418333333333333,0.579333333333333,2.00766666666667,96.9566666666667,8.52,7.72,4.01,285,170,1,80,6,0,0,0.54
"CircleLilyLake",46.1593968607485,-89.9165492258035,858.940983333333,73.3537366666667,0.0301666666666667,0.0763333333333333,0.777166666666667,44.7735,131.828166666667,91.2916666666667,8.03316666666667,7.51483333333333,15.7,515,599,15,21,10,2,3,0.7
"ClearLake",46.1485703308117,-89.810959505385,199.2203,93.991315,0.104,0.152833333333333,0.751833333333333,2.28933333333333,7.0295,99.5916666666667,8.51,8.3,3.27,183,268,4,17,12,11,2,2.28
"CrystalLake",46.002200575545,-89.6111887288233,291.675933333333,5.70481133333333,-0.0546666666666667,-0.00683333333333333,0.0333333333333333,-0.0865,0.0521666666666667,100.84,9.213,6.93483333333333,2.17,168,231,6,6,10,3,1,0.5
"DayLake",46.0650859186426,-89.7102424059995,509.198493452381,399.298585714286,0.0106666666666667,0.0585,0.69425,0.934583333333334,3.05125,98.3233333333333,8.73566666666667,6.54983333333333,4.485,237.5,355,0.5,7,20,1,1,0.235
"DiamondLake",46.042395940621,-89.7163668704178,388.700766666667,165.326483333333,-0.0875833333333333,-0.04,0.0589999999999999,0.275,1.114,98.5591666666666,8.24641666666667,6.73133333333334,2.655,185,219,2.5,4.5,10.5,2,1,0.39
"DogLake",45.8666071069892,-89.5370036219247,135.074068333333,529.082433333333,1.15491666666667,1.21308333333333,5.75899999999998,9.115,27.0815,108.916666666667,9.11675,8.65366666666667,5.675,338.5,662.5,24.5,29,34,6.5,4.5,4.11
"IslandLake",46.1145623624417,-89.7900616829233,794.753,58.409725,0.0638333333333333,0.111833333333333,0.839166666666667,12.2208333333333,36.2033333333333,89.4933333333333,7.72,7.64,6.02,244,281,5,17,11,15,2,1.12
"JagLake",46.0830227178521,-89.7197251729667,316.465779661017,468.532559322034,-0.000833333333333333,0.0465,0.881,3.739,11.2891666666667,101.266666666667,8.76783333333333,7.149,4.45,280,500,39,16,6,1,1,0.51
"LakeEscanaba",46.0613297419623,-89.5878178537823,145.9545,182.36615,0.0395,0.0881666666666667,0.227833333333333,12.0308333333333,35.6478333333333,107.638333333333,9.411,8.05683333333333,7.27,293,290,22,23,7,2,4,0.49
"LakeNebish",46.0502416002564,-89.5888410871848,378.4466,372.2574,-0.0795,-0.0335,-0.186166666666667,0.995166666666667,3.23033333333333,104.163333333333,9.11916666666667,7.14,3.89,234,304,17,19,6,1,2,0.2
"LauraLake",46.0551097090356,-89.4402180472389,130.344420018833,367.669680885122,-0.0741111111111112,-0.0275555555555556,0.613111111111111,0.353555555555556,1.34383333333333,101.720555555556,9.25311111111111,8.27366666666667,3.37666666666667,230.333333333333,363.333333333333,61.3333333333333,13.3333333333333,7,1,1.33333333333333,0.326666666666667
"LittleArborVitaeLake",45.9125237530097,-89.6203353544697,141.503735862069,827.742125287356,1.72266666666667,1.78644444444445,6.37616666666668,4.55166666666667,13.6775555555556,96.0633333333332,8.51133333333334,8.60294444444444,4.255,331,685.666666666667,31,45.3333333333333,63,6.66666666666667,5.66666666666667,4.89
"LittleStarLake",46.1156522976235,-89.858333974611,348.45225,168.968616666667,-0.038,0.00866666666666667,-0.264666666666667,1.90316666666667,5.89583333333333,99.6,8.4915,8,3.6,167,279,7,9,5,9,1,3.5
