"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
328,914.6,939.9,990.6,1012,1812,170.140329691416,"XCO2Dpp"
83.79,153.3,175.4,189.8,204.5,425.4,53.9167353554978,"XCH4Dpp"
22.23,22.72,22.83,22.82,22.94,23.34,0.159399338286425,"TempC"
85.49,90.39,90.96,91.08,91.6,103.7,1.98471420095342,"SPCµScm"
0.3294,0.4393,0.4463,0.4432,0.4516,0.5136,0.0151879607455219,"ChlARFU"
1.083,1.581,1.608,1.596,1.63,1.821,0.0626205318381368,"ChlAµgL"
0.001567,0.041,0.04707,0.04385,0.05043,0.07212,0.0101428253509704,"BGAPCRFU"
0.04483,0.08981,0.09619,0.09184,0.0983,0.1312,0.0112377345309142,"BGAPCµL"
1.015,1.653,1.719,1.726,1.798,6.447,0.233691284921155,"TurbFNU"
12.08,12.62,12.68,12.88,12.98,15.52,0.498286082965212,"fDOMRFU"
36.09,37.35,37.51,38.14,38.4,45.85,1.48082865510979,"fDOMQSU"
80.46,89.12,89.81,89.69,90.61,110.7,2.60074473759314,"ODOsat"
7.051,7.704,7.756,7.75,7.823,9.688,0.217418803508751,"ODOmgL"
7.304,7.59,7.627,7.625,7.661,8.577,0.111002633482434,"pH"
3.494,3.789,3.839,3.829,3.876,4.104,0.0677690606994411,"Pressps"
364,921.3,949.3,997,1017,1701,156.577949659581,"XCO2Dppm_h"
324.7,906.5,936.9,980.7,1005,1761,167.063866026967,"XCO2Dppm_t"
92.97,149.5,172.7,187.2,201.6,441,55.4777013578925,"XCH4Dppm_h"
89.81,157.1,178.7,192.3,200.9,518.4,55.9082146487565,"XCH4Dppm_t"
22.19,22.73,22.85,22.83,22.94,23.3,0.160614379362735,"TmpC_hy"
22.14,22.72,22.83,22.82,22.92,23.34,0.157634457125063,"TempC_t"
85.13,90.38,90.83,90.99,91.45,103.7,1.89703202914751,"SPCµScm_h"
85.63,90.53,91.11,91.28,91.82,104.3,2.04330675976711,"SPCµScm_t"
0.3219,0.4421,0.448,0.4452,0.4533,0.5617,0.0159722493452476,"ChlARFU_h"
0.328,0.4398,0.4456,0.4433,0.452,0.5125,0.0148444235188462,"ChlARFU_t"
1.183,1.602,1.632,1.622,1.651,1.986,0.0533797028814507,"ChlAµgL_h"
1.106,1.599,1.628,1.618,1.651,2.14,0.0609068363273894,"ChlAµgL_t"
0.002491,0.04255,0.04751,0.04489,0.0516,0.07935,0.0102730884881895,"BGAPCRFU_h"
-0.00191,0.04171,0.04779,0.04425,0.05101,0.07825,0.0110039047904332,"BGAPCRFU_t"
0.04684,0.08883,0.09459,0.09131,0.09809,0.1173,0.0109287908665173,"BGAPCµgL_h"
0.05057,0.08934,0.09463,0.09171,0.09843,0.125,0.0104972020721403,"BGAPCµgL_t"
0.9754,1.536,1.594,1.573,1.645,2.551,0.125786860323118,"TrbFNU_h"
1.011,1.597,1.663,1.652,1.708,3.341,0.149543158910562,"TrbFNU_t"
12.14,12.64,12.69,12.9,12.99,15.53,0.499865716500776,"fDOMRFU_h"
12.17,12.65,12.7,12.91,13,15.69,0.505144738893671,"fDOMRFU_t"
35.94,37.3,37.49,38.1,38.42,46.32,1.48015618169463,"fDOMQSU_h"
36.13,37.38,37.56,38.18,38.45,46.17,1.51371262781606,"fDOMQSU_t"
80.95,89.48,90.17,90.23,91.31,117.1,2.88442530888826,"ODOst_h"
81.04,89.45,90.02,89.93,90.77,110.2,2.40122620582995,"ODOst_t"
7.113,7.733,7.773,7.774,7.843,9.34,0.196107337478104,"ODOmgL_h"
7.036,7.696,7.741,7.738,7.809,9.531,0.20899944577653,"ODOmgL_t"
7.32,7.592,7.619,7.615,7.643,8.366,0.0944049066128897,"pH_hyd"
7.302,7.588,7.62,7.617,7.651,8.504,0.106429410324763,"pH_tau"
0.1306,0.2423,0.2749,0.2955,0.3141,0.696,0.0843547979854428,"CH4uM"
4855,8126,9452,10020,10710,21540,2759.62875692849,"CH4Sat"
0.1329,0.2354,0.2745,0.2922,0.3173,0.6911,0.0834338482986701,"CH4M_hy"
4503,8108,9170,9949,10670,24920,2851.39626636513,"CH4St_h"
0.1207,0.2241,0.2584,0.28,0.2949,0.7801,0.0873484860598552,"CH4uM_t"
4025,7688,8814,9567,9994,25450,3016.48667858041,"CH4St_t"
14.45,35.07,36.06,37.92,38.77,69.37,6.38321240233449,"CO2uM"
87.43,230.2,236.1,248,252.7,434.9,40.0346241627656,"CO2Sat"
14.85,34.87,36.03,37.85,38.77,67.37,6.50393884065895,"CO2M_hy"
100.7,227.2,233.5,245.4,249.6,434.7,40.1983541454543,"CO2St_h"
14.24,34.88,35.83,37.44,37.97,66.76,5.84142013013338,"CO2uM_t"
98.07,230.4,237.7,249.5,254.8,440.2,41.6791068967163,"CO2St_t"
