"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.647,2.388,2.525,2.49,2.612,3.214,0.202265049242281,"Depth"
312,369.4,376.2,390.6,399.7,686.7,40.0734827895259,"XCO2Dpp"
389.2,562.4,570,575.9,586.2,679,24.5641635393546,"XCH4Dpp"
22.32,22.46,22.51,22.51,22.56,22.76,0.0642623062573623,"TempC"
18.84,18.93,18.94,18.94,18.95,19.01,0.0183512776756514,"SPCµScm"
0.3988,0.472,0.4866,0.4922,0.5052,0.6713,0.0333700072318259,"ChlARFU"
1.41,1.731,1.792,1.804,1.854,2.649,0.12863265546278,"ChlAµgL"
-0.01877,-0.004858,-0.003251,-0.0039,-0.002329,0.005889,0.00311969025240018,"BGAPCRFU"
0.02595,0.04122,0.04347,0.04247,0.04443,0.05274,0.00350523677015307,"BGAPCµL"
0.9945,1.302,1.339,1.339,1.387,1.673,0.07740177375063,"TurbFNU"
3.771,3.833,3.87,3.893,3.902,4.871,0.108986286733837,"fDOMRFU"
11.42,11.59,11.67,11.75,11.75,14.75,0.328475981453773,"fDOMQSU"
98.34,102,102.2,102.1,102.4,104.8,0.502273353949098,"ODOsat"
8.509,8.83,8.856,8.845,8.873,9.027,0.048915376947506,"ODOmgL"
6.888,7.066,7.084,7.075,7.091,7.143,0.0317812906137002,"pH"
5.652,6.16,6.277,6.257,6.345,6.692,0.127276546959113,"Pressps"
306.4,368.2,376.1,388.3,396.6,706.1,38.9619921574806,"XCO2Dppm_h"
311.6,365.4,378.2,390.5,401.4,748.2,45.4299629417654,"XCO2Dppm_t"
400.9,559.2,566.4,573.2,583.8,682.3,24.6476665246933,"XCH4Dppm_h"
504,555.6,563.4,573.6,585.7,729.8,28.424237931594,"XCH4Dppm_t"
22.26,22.45,22.5,22.5,22.55,22.82,0.0698615040063853,"TmpC_hy"
22.22,22.43,22.49,22.49,22.55,22.78,0.0779486522608444,"TempC_t"
18.84,18.93,18.94,18.94,18.95,18.99,0.0174204564701043,"SPCµScm_h"
18.84,18.93,18.94,18.94,18.95,19,0.0205422753083895,"SPCµScm_t"
0.4061,0.4827,0.4936,0.5012,0.5133,0.6774,0.0333763570530261,"ChlARFU_h"
0.391,0.4724,0.49,0.4931,0.5096,0.6654,0.0334114213779218,"ChlARFU_t"
1.449,1.764,1.819,1.84,1.893,2.474,0.128731397171512,"ChlAµgL_h"
1.443,1.768,1.824,1.844,1.895,2.667,0.139429982593967,"ChlAµgL_t"
-0.02645,-0.007936,-0.005755,-0.006571,-0.004698,0.00564,0.00344562686974095,"BGAPCRFU_h"
-0.02263,-0.007103,-0.00534,-0.00578,-0.003822,0.005417,0.00325439633068968,"BGAPCRFU_t"
0.01759,0.04063,0.04302,0.04197,0.04399,0.05371,0.0036104664018751,"BGAPCµgL_h"
0.02682,0.04131,0.04308,0.04281,0.04497,0.05504,0.00360880923927124,"BGAPCµgL_t"
0.9737,1.268,1.328,1.32,1.368,1.848,0.0830466590356601,"TrbFNU_h"
0.9745,1.255,1.303,1.29,1.333,1.617,0.0691905247191048,"TrbFNU_t"
3.795,3.848,3.88,3.909,3.915,4.985,0.12286670046538,"fDOMRFU_h"
3.767,3.834,3.859,3.884,3.889,4.859,0.0997893650570394,"fDOMRFU_t"
11.35,11.6,11.69,11.75,11.78,14.76,0.311616701568679,"fDOMQSU_h"
11.32,11.57,11.66,11.74,11.78,14.71,0.333746769860886,"fDOMQSU_t"
98.3,102,102.2,102.1,102.4,103.8,0.528215874921926,"ODOst_h"
98.58,102,102.3,102.1,102.4,103.7,0.469801189696958,"ODOst_t"
8.495,8.842,8.872,8.859,8.892,9.094,0.0543844013567833,"ODOmgL_h"
8.455,8.83,8.856,8.844,8.881,9.049,0.0576746980352972,"ODOmgL_t"
6.842,7.062,7.079,7.071,7.09,7.176,0.0358471968693114,"pH_hyd"
6.869,7.069,7.086,7.077,7.094,7.158,0.0334114244170066,"pH_tau"
0.7393,0.8661,0.8766,0.8881,0.9063,1.045,0.0387839709024223,"CH4uM"
25980,29790,30160,30530,31060,37500,1410.23113534167,"CH4Sat"
0.7896,0.8685,0.8794,0.8912,0.9102,1.056,0.0380797285728231,"CH4M_hy"
23170,28960,29460,29830,30580,35700,1485.73534155683,"CH4St_h"
0.8083,0.8663,0.8819,0.8965,0.9144,1.147,0.046618338953885,"CH4uM_t"
26220,28690,29020,29580,30250,37130,1433.02037898404,"CH4St_t"
12.05,14.33,14.6,15.14,15.41,25.74,1.53093443996203,"CO2uM"
77.49,90.66,92.14,94.93,96.75,151.7,8.16390810965962,"CO2Sat"
12.1,14.28,14.58,15.06,15.32,27.15,1.52203836539258,"CO2M_hy"
80.26,91.47,93.69,96.56,98.3,174.5,9.77995731546688,"CO2St_h"
12.12,14.19,14.59,15.07,15.46,28.27,1.66994167701792,"CO2uM_t"
79.02,91.95,93.92,97.08,99.01,176.1,9.46485568204805,"CO2St_t"
