"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.699,2.688,3.106,2.991,3.287,5.158,0.453532211391046,"Depth"
172.4,240,253.2,264.9,274.1,593.2,43.5056756491843,"XCO2Dpp"
265.9,331.3,355.2,362.9,385.8,606.9,42.728033378155,"XCH4Dpp"
21.87,21.97,22.02,22.02,22.06,22.35,0.0665844524222055,"TempC"
45.64,45.88,45.9,45.9,45.92,46.13,0.0512695733858869,"SPCµScm"
0.6843,0.782,0.8046,0.8108,0.8431,0.9579,0.0426002746444587,"ChlARFU"
2.384,2.99,3.09,3.105,3.233,3.77,0.177527647719988,"ChlAµgL"
-0.01551,0.00894,0.01148,0.01132,0.01395,0.02623,0.00437534830778254,"BGAPCRFU"
0.0382,0.05819,0.06111,0.06052,0.06314,0.07402,0.00431219131013299,"BGAPCµL"
0.3485,0.6076,0.6929,0.6928,0.7797,1.143,0.102235676669134,"TurbFNU"
11.87,12.19,12.25,12.26,12.29,12.87,0.131268440626034,"fDOMRFU"
35.01,36.12,36.25,36.29,36.39,38.2,0.375765350549964,"fDOMQSU"
99.9,106.7,107.2,106.9,107.5,108.8,1.03114265736816,"ODOsat"
8.798,9.326,9.37,9.346,9.393,9.484,0.0790325587964304,"ODOmgL"
7.557,7.831,7.87,7.852,7.891,8.038,0.0662754691788064,"pH"
3.474,5.712,5.82,5.812,5.95,6.387,0.218958580744244,"Pressps"
172.2,241.8,257.3,268.8,279.4,475.7,44.69440297466,"XCO2Dppm_h"
169.6,242.5,258,270.3,279.9,506.4,46.2216774314661,"XCO2Dppm_t"
273.7,328.5,351.4,358.2,379.9,640,42.8206516167003,"XCH4Dppm_h"
279.6,337.4,365,376.4,399.6,700,55.192599060263,"XCH4Dppm_t"
21.85,21.97,22.02,22.02,22.06,22.34,0.0669496775911091,"TmpC_hy"
21.84,21.98,22.02,22.02,22.06,22.32,0.0666930092132725,"TempC_t"
45.66,45.89,45.91,45.91,45.92,46.16,0.0505340743447885,"SPCµScm_h"
45.67,45.89,45.91,45.91,45.92,46.1,0.0497510540049152,"SPCµScm_t"
0.6829,0.7885,0.8132,0.8163,0.8501,0.9705,0.0445651111904765,"ChlARFU_h"
0.6476,0.7864,0.8114,0.816,0.8509,0.9842,0.0437150947898877,"ChlARFU_t"
2.412,2.979,3.087,3.104,3.24,3.724,0.180162350582447,"ChlAµgL_h"
2.61,3.02,3.118,3.131,3.257,3.703,0.170518388188658,"ChlAµgL_t"
-0.007808,0.01046,0.01319,0.01297,0.01542,0.02935,0.00437985479442382,"BGAPCRFU_h"
-0.005889,0.01019,0.0128,0.01268,0.01508,0.08784,0.00474644216419947,"BGAPCRFU_t"
0.03971,0.05757,0.06003,0.05964,0.06214,0.07324,0.00414830303355008,"BGAPCµgL_h"
0.03113,0.05658,0.05882,0.05844,0.06059,0.08375,0.00427730136214354,"BGAPCµgL_t"
0.3532,0.6099,0.6971,0.7061,0.7873,1.823,0.113845879308939,"TrbFNU_h"
0.3128,0.5952,0.6907,0.6928,0.7808,1.153,0.110181714746642,"TrbFNU_t"
11.84,12.19,12.24,12.25,12.28,13.02,0.130780547076244,"fDOMRFU_h"
11.78,12.2,12.25,12.26,12.3,13.08,0.138867931734322,"fDOMRFU_t"
35.09,36.16,36.29,36.34,36.42,39.04,0.374739934975322,"fDOMQSU_h"
34.86,36.12,36.27,36.3,36.39,38.39,0.390441217709468,"fDOMQSU_t"
100.1,106.7,107.2,106.9,107.5,109.1,1.03089400621972,"ODOst_h"
101.9,106.9,107.3,107.1,107.6,108.9,0.907248041314172,"ODOst_t"
8.949,9.35,9.382,9.359,9.404,9.465,0.0731948773309721,"ODOmgL_h"
8.86,9.324,9.367,9.342,9.394,9.51,0.0835977090397308,"ODOmgL_t"
7.566,7.853,7.888,7.873,7.916,8.026,0.0667266210279243,"pH_hyd"
7.567,7.841,7.88,7.863,7.909,8.038,0.0693350882803001,"pH_tau"
0.4479,0.5317,0.5693,0.58,0.6136,1.083,0.069495191766617,"CH4uM"
14520,17600,18490,19000,20040,31700,2225.49259023699,"CH4Sat"
0.4268,0.5072,0.5419,0.5567,0.5954,0.9935,0.0722588243918237,"CH4M_hy"
14320,17730,18640,19190,20290,34070,2289.38171003192,"CH4St_h"
0.4094,0.5397,0.5863,0.6017,0.6372,1.114,0.0898485213356054,"CH4uM_t"
9636,17530,19000,19540,20800,36080,2934.94115111855,"CH4St_t"
6.496,9.382,9.899,10.36,10.66,19.25,1.73494390462581,"CO2uM"
41.22,60.34,63.57,66.85,69.38,131,11.379675747865,"CO2Sat"
6.671,9.48,9.97,10.5,10.83,20.88,1.8277326262037,"CO2M_hy"
41.65,61.85,65.59,68.77,71.71,132.7,11.9120545262335,"CO2St_h"
6.593,9.555,10.16,10.6,10.91,19.25,1.83705962111211,"CO2uM_t"
42.68,59.84,64.13,67.46,70.15,132.8,12.1462748929027,"CO2St_t"
