"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.748,4.094,4.504,4.66,5.074,12.54,1.09373527052889,"Depth"
382.3,405.8,408.8,415.1,417.9,515.4,16.8345427747344,"XCO2Dpp"
232.5,325.6,334.1,335.4,341.9,441.4,19.2416472143353,"XCH4Dpp"
21.53,21.89,21.92,21.91,21.94,22.06,0.0464760511610405,"TempC"
16.46,16.63,16.65,16.64,16.66,17.15,0.0373893438664558,"SPCµScm"
0.06234,0.07482,0.08126,0.08029,0.08382,0.1255,0.00696224702760734,"ChlARFU"
0.07703,0.1219,0.1474,0.1422,0.1562,0.2618,0.0260203177268166,"ChlAµgL"
-0.09246,-0.08232,-0.08135,-0.08126,-0.08044,-0.06793,0.00186892104243369,"BGAPCRFU"
-0.04412,-0.0353,-0.0343,-0.03415,-0.03347,-0.01821,0.00217207203295629,"BGAPCµL"
-0.08788,0.1171,0.2356,0.2168,0.3207,0.6898,0.124911740871854,"TurbFNU"
1.016,1.043,1.049,1.055,1.061,1.158,0.018465643792313,"fDOMRFU"
3.286,3.378,3.396,3.413,3.437,3.678,0.0538949353975785,"fDOMQSU"
102.2,104.7,105.2,105,105.5,107.3,0.591421658732521,"ODOsat"
8.999,9.171,9.211,9.2,9.233,9.394,0.0470594398239023,"ODOmgL"
7.032,7.104,7.113,7.108,7.116,7.152,0.0125960377282056,"pH"
5.594,6.116,6.194,6.188,6.276,6.562,0.112523533783472,"Pressps"
380.4,405.5,409.7,416,421.7,548.8,17.4826572021114,"XCO2Dppm_h"
382.1,404.9,410.9,417.4,423.8,560.5,18.8106395631978,"XCO2Dppm_t"
283.2,320.3,329.6,331.8,338.5,459.1,20.8834998995286,"XCH4Dppm_h"
267.7,327.7,334.7,344.8,351.1,686.8,32.2040095844291,"XCH4Dppm_t"
21.63,21.89,21.93,21.91,21.94,21.98,0.0470655577945939,"TmpC_hy"
21.6,21.89,21.93,21.91,21.95,22,0.0480587388029351,"TempC_t"
16.48,16.63,16.64,16.64,16.65,16.9,0.0296392025276243,"SPCµScm_h"
16.46,16.63,16.65,16.64,16.65,16.81,0.0289364208163127,"SPCµScm_t"
0.06256,0.07363,0.08126,0.07936,0.083,0.1048,0.00663924160113096,"ChlARFU_h"
0.06197,0.07618,0.082,0.08119,0.08477,0.1088,0.0071197834965159,"ChlARFU_t"
0.05761,0.1154,0.143,0.1382,0.1516,0.255,0.0272692889046461,"ChlAµgL_h"
0.05982,0.1098,0.136,0.1331,0.148,0.26,0.0268041841452652,"ChlAµgL_t"
-0.095,-0.08174,-0.08061,-0.08059,-0.07971,-0.06635,0.00194908569547219,"BGAPCRFU_h"
-0.08919,-0.08182,-0.08086,-0.0808,-0.07995,-0.06698,0.00220703051350775,"BGAPCRFU_t"
-0.04556,-0.03397,-0.0329,-0.03288,-0.03205,-0.02105,0.00207809055808171,"BGAPCµgL_h"
-0.0528,-0.03584,-0.03494,-0.03491,-0.034,-0.02395,0.00189652447192753,"BGAPCµgL_t"
-0.09868,0.1246,0.2309,0.2159,0.3096,1.289,0.120847245864038,"TrbFNU_h"
-0.08389,0.1107,0.2351,0.2285,0.3342,0.8538,0.135033526834735,"TrbFNU_t"
1.01,1.048,1.053,1.059,1.066,1.181,0.017965571678297,"fDOMRFU_h"
1.009,1.045,1.052,1.057,1.065,1.182,0.0197180844558416,"fDOMRFU_t"
3.216,3.379,3.4,3.415,3.434,3.678,0.0537825297522781,"fDOMQSU_h"
3.256,3.376,3.392,3.409,3.425,3.714,0.0540364031536126,"fDOMQSU_t"
101.7,104.6,105,104.8,105.2,106.5,0.533425829115327,"ODOst_h"
102.2,104.6,105,104.9,105.3,106.6,0.551659458011371,"ODOst_t"
9.01,9.175,9.214,9.204,9.239,9.317,0.0437954841778497,"ODOmgL_h"
8.973,9.163,9.201,9.192,9.223,9.366,0.0421183483790549,"ODOmgL_t"
7.018,7.105,7.114,7.109,7.118,7.139,0.0137018854626535,"pH_hyd"
7.031,7.106,7.116,7.112,7.122,7.15,0.0143790412514334,"pH_tau"
0.4216,0.5015,0.5135,0.5161,0.5261,0.667,0.028389853800141,"CH4uM"
14370,16620,17010,17080,17380,21670,894.666015042121,"CH4Sat"
0.3793,0.495,0.5114,0.5157,0.5295,0.6837,0.0333941409410071,"CH4M_hy"
14200,16550,16950,17000,17260,21050,848.850831170349,"CH4St_h"
0.2811,0.5153,0.5269,0.5486,0.5606,1.653,0.0663351535763574,"CH4uM_t"
14090,17130,17510,18020,18330,38150,1703.74386345316,"CH4St_t"
14.94,15.98,16.11,16.4,16.55,22.01,0.735177016018308,"CO2uM"
96.12,101.6,102.3,104,104.7,129.5,4.47660429281869,"CO2Sat"
15,15.85,16.04,16.3,16.53,20.73,0.710691380793665,"CO2M_hy"
95.59,101,102.8,104.2,105.9,131,4.77392945687635,"CO2St_h"
14.8,15.76,16.01,16.25,16.54,20.44,0.698489644224192,"CO2uM_t"
94.51,101,102.9,104.6,106.8,145.6,5.06526762039746,"CO2St_t"
