"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
5.202,12.46,13.95,13.81,15.14,19.88,1.63083818953754,"Depth"
202.8,234.7,249.5,265.7,295.7,531.4,39.8563423443248,"XCO2Dpp"
83.02,114.2,132.1,141.5,165.2,408.4,33.7916327036347,"XCH4Dpp"
21.28,21.36,21.41,21.42,21.46,21.68,0.0633350417414849,"TempC"
99.37,99.52,99.64,99.75,99.92,104.9,0.323997210963686,"SPCuScm"
0.1489,0.1633,0.1678,0.1685,0.1732,0.1865,0.00662232380168822,"ChlARFU"
0.6115,0.696,0.7118,0.7136,0.7327,0.8187,0.0249872183999686,"ChlAugL"
0.04579,0.06487,0.06633,0.06612,0.06743,0.08004,0.00225555041652073,"BGAPCRFU"
0.06887,0.08157,0.08261,0.08259,0.08378,0.09529,0.00229596377326667,"BGAPCgL"
-0.0355,0.05516,0.07563,0.08435,0.1193,0.3118,0.039682698597858,"TurbFNU"
1.383,1.491,1.52,1.54,1.58,2.51,0.0716633467561077,"fDOMRFU"
4.226,4.556,4.644,4.713,4.843,6.986,0.218860416076477,"fDOMQSU"
93.46,95.61,96.58,96.39,97.14,98.27,0.855363863755464,"ODOsat"
8.286,8.449,8.542,8.523,8.602,8.671,0.082710210797601,"ODOmgL"
7.51,7.728,7.812,7.787,7.842,7.899,0.0613918577039891,"pH"
4.859,9.437,9.852,9.742,10.23,12.16,0.828602487800797,"Pressps"
1.793,2.116,2.16,2.188,2.24,2.85,0.112095177552894,"NITRATEU"
0.02371,0.02969,0.03033,0.03056,0.03125,0.04958,0.00136913412618212,"NITRATEM"
0.4514,0.5268,0.5325,0.5368,0.5384,0.7721,0.0235181434595433,"ABS254"
0.2816,0.3451,0.3514,0.3531,0.3555,0.6178,0.0189766628590336,"ABS350"
24.84,25.71,25.8,25.75,25.84,26.08,0.171362361486748,"TINT"
26.07,27.23,27.36,27.35,27.49,27.9,0.203955470236655,"TSPEC"
25.14,26.61,26.64,26.6,26.66,26.78,0.136864981424466,"TLAMP"
200.9,229.1,242.5,259.7,288.9,473,39.0022720644846,"XCO2Dppm_h"
203.1,235.6,250.2,267.7,297.1,606.8,42.3265893714765,"XCO2Dppm_t"
75.76,114.2,131.9,141,164,376.2,34.1298778969432,"XCH4Dppm_h"
72.99,109.9,125.8,135.6,158.3,406.2,34.3257204982192,"XCH4Dppm_t"
21.27,21.37,21.41,21.42,21.46,21.65,0.0615957698187523,"TmpC_hy"
21.28,21.37,21.41,21.42,21.47,21.66,0.0621041986530434,"TempC_t"
99.37,99.52,99.64,99.76,99.92,103.2,0.326285516923436,"SPCScm_h"
99.38,99.52,99.64,99.75,99.92,105.5,0.340587666386171,"SPCScm_t"
0.1459,0.1638,0.1692,0.1693,0.1746,0.2101,0.00685929390293459,"ChlARFU_h"
0.1519,0.165,0.1694,0.1699,0.1745,0.1897,0.00625000314262451,"ChlARFU_t"
0.6374,0.6991,0.7187,0.7213,0.7422,0.8496,0.0283412622355396,"ChlAgL_h"
0.6143,0.6878,0.7063,0.7086,0.728,0.8081,0.0260723941007672,"ChlAgL_t"
0.05519,0.06477,0.06627,0.06607,0.06733,0.07671,0.00218991026366094,"BGAPCRFU_h"
0.05578,0.06457,0.06611,0.06614,0.06764,0.07703,0.00237005280191765,"BGAPCRFU_t"
0.06886,0.08025,0.08138,0.08126,0.08261,0.08889,0.002099090845569,"BGAPCgL_h"
0.06591,0.08118,0.08272,0.08279,0.08419,0.1044,0.00264656287964817,"BGAPCgL_t"
-0.05481,0.05362,0.08078,0.08135,0.1186,0.2524,0.0396626801496318,"TrbFNU_h"
-0.04589,0.05301,0.07655,0.08435,0.1242,0.2549,0.0419749650089519,"TrbFNU_t"
1.377,1.49,1.52,1.542,1.583,2.401,0.0753093376094527,"fDOMRFU_h"
1.379,1.49,1.521,1.54,1.58,2.246,0.0677097437019166,"fDOMRFU_t"
4.194,4.565,4.646,4.705,4.815,6.864,0.198971294163113,"fDOMQSU_h"
4.193,4.55,4.641,4.695,4.811,6.958,0.202979613212662,"fDOMQSU_t"
93.65,95.56,96.51,96.35,97.1,97.84,0.823242735410267,"ODOst_h"
93.58,95.51,96.48,96.31,97.04,98.1,0.833248392658328,"ODOst_t"
8.246,8.447,8.54,8.519,8.589,8.654,0.0771481382843465,"ODOmgL_h"
8.228,8.441,8.539,8.521,8.603,8.657,0.0843460978952005,"ODOmgL_t"
7.479,7.727,7.811,7.786,7.839,7.882,0.0611168883063133,"pH_hyd"
7.5,7.729,7.808,7.788,7.841,7.897,0.0596229879465581,"pH_tau"
0.1315,0.1822,0.2132,0.2254,0.2615,0.5829,0.0534320013999531,"CH4uM"
3932,5994,7022,7441,8649,26330,1849.9365687073,"CH4Sat"
0.1307,0.1857,0.2155,0.2301,0.2662,0.707,0.057708170207609,"CH4M_hy"
4027,6092,7110,7591,8787,25120,1917.68444722303,"CH4St_h"
0.1259,0.1699,0.1968,0.2118,0.2477,0.6073,0.0537163116186259,"CH4uM_t"
4291,5756,6676,7086,8174,24040,1748.6191534493,"CH4St_t"
8.084,9.373,9.947,10.61,11.79,21.17,1.58927386621711,"CO2uM"
50.63,58.04,61.73,66,73.33,154.2,10.2982534883513,"CO2Sat"
8.144,9.327,9.874,10.6,11.74,23.83,1.63803321778475,"CO2M_hy"
51.02,58.59,62.21,65.79,73.07,141.1,8.85130240668292,"CO2St_h"
8.084,9.256,9.792,10.47,11.66,18.45,1.52815190344176,"CO2uM_t"
50.45,57.89,61.19,65.6,72.98,164.5,10.1462100314746,"CO2St_t"
