"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.493,2.801,3.457,3.295,3.739,6.061,0.6329221402666,"Depth"
110.9,176.3,192.4,202.3,209.3,657.4,52.0897479482452,"XCO2Dpp"
328.1,385.7,393.1,391.8,399.4,436.8,12.0260167783073,"XCH4Dpp"
19.91,20.28,20.36,20.42,20.49,22.05,0.24511864920355,"TempC"
31.93,49.23,50.35,49.86,51.14,53.7,2.33730727280569,"SPCµScm"
0.05553,0.09275,0.102,0.111,0.1162,0.373,0.0344428411544064,"ChlARFU"
0.05258,0.2205,0.2752,0.3073,0.3394,1.302,0.153413418712994,"ChlAµgL"
-0.09518,-0.07712,-0.07573,-0.07512,-0.07374,0.02445,0.00472581715253179,"BGAPCRFU"
-0.05054,-0.02899,-0.02701,-0.02577,-0.02468,0.09943,0.00789431710874953,"BGAPCµL"
0.3962,0.9704,1.081,1.05,1.162,2.271,0.176845709428928,"TurbFNU"
0.4523,1.21,1.62,1.873,2.175,10.86,1.16371875692757,"fDOMRFU"
1.589,3.595,4.707,5.367,6.134,30.38,3.16412062055197,"fDOMQSU"
99.24,102.6,102.7,102.7,102.9,104.4,0.40448482175369,"ODOsat"
8.695,9.259,9.271,9.259,9.282,9.453,0.0636547173310573,"ODOmgL"
7.38,8.17,8.196,8.176,8.212,8.382,0.0873122116555497,"pH"
5.17,5.785,5.88,5.862,5.948,6.269,0.135460786674655,"Pressps"
109.1,177.9,193.9,206.8,212.2,765.7,58.3564987159705,"XCO2Dppm_h"
112.7,176.2,189.8,202.3,208,687,54.0144879671212,"XCO2Dppm_t"
339.1,388.9,398.3,396.7,405.5,475.6,13.7306117327559,"XCH4Dppm_h"
329.3,394.2,406.7,407.1,420.1,566.7,20.2914202827673,"XCH4Dppm_t"
20.03,20.3,20.37,20.43,20.48,22.1,0.243134165487048,"TmpC_hy"
11.89,19.13,19.39,19.42,19.69,22.05,0.685980931882,"TempC_t"
32.39,49.39,50.23,49.8,50.93,53.35,2.21208048776196,"SPCµScm_h"
34.35,50.06,50.91,50.4,51.41,53.47,2.04433052948176,"SPCµScm_t"
0.058,0.09917,0.1101,0.1189,0.1262,0.4165,0.0358775475831318,"ChlARFU_h"
0.05797,0.09842,0.1086,0.1171,0.1231,0.3857,0.034680791375981,"ChlARFU_t"
0.04353,0.2133,0.2634,0.2954,0.3329,1.262,0.141251631960215,"ChlAµgL_h"
0.06119,0.2078,0.2567,0.2936,0.3293,1.253,0.14760565887091,"ChlAµgL_t"
-0.09476,-0.07767,-0.07618,-0.07524,-0.07368,0.01637,0.00565767440461784,"BGAPCRFU_h"
-0.09822,-0.07591,-0.07319,-0.07204,-0.07041,0.02575,0.0080149071272684,"BGAPCRFU_t"
-0.05197,-0.02781,-0.02386,-0.02248,-0.02112,0.2387,0.0135397582137157,"BGAPCµgL_h"
-0.04931,-0.03061,-0.02847,-0.02759,-0.02659,0.1943,0.00878537447920171,"BGAPCµgL_t"
0.2709,0.9322,1.041,1.005,1.137,2.105,0.184952638182576,"TrbFNU_h"
0.2847,0.9209,1.016,0.9812,1.1,2.116,0.171689515104397,"TrbFNU_t"
0.4747,1.272,1.683,1.918,2.242,11.71,1.1428868084982,"fDOMRFU_h"
0.4394,1.204,1.621,1.854,2.152,10.9,1.14192282082661,"fDOMRFU_t"
1.618,3.838,4.974,5.763,6.592,32.17,3.43067206091786,"fDOMQSU_h"
1.739,4.398,5.78,6.434,7.421,33.97,3.56227336990425,"fDOMQSU_t"
98.75,102.5,102.7,102.7,102.9,104.5,0.4097944871064,"ODOst_h"
99.19,102.5,102.7,102.6,102.8,104.4,0.397109372810819,"ODOst_t"
8.631,9.248,9.259,9.248,9.272,9.476,0.0640982724753165,"ODOmgL_h"
8.55,9.26,9.268,9.259,9.277,9.535,0.0594836140653637,"ODOmgL_t"
7.386,8.164,8.193,8.172,8.207,8.377,0.0856706674056295,"pH_hyd"
5.46,7.4,7.573,7.558,7.732,8.31,0.278030288033681,"pH_tau"
0.5239,0.6253,0.641,0.6367,0.652,0.7043,0.0229137296822201,"CH4uM"
16530,20300,20740,20620,21030,24780,698.872470340895,"CH4Sat"
0.5148,0.6298,0.648,0.6445,0.6617,0.7241,0.025205319347871,"CH4M_hy"
16270,20090,20640,20480,20980,24180,800.3226694335,"CH4St_h"
0.4861,0.6414,0.6556,0.6558,0.6747,0.9154,0.0281792859617096,"CH4uM_t"
16520,21410,21900,21940,22630,29710,1001.62725148187,"CH4St_t"
4.682,7.583,8.27,8.694,9.016,26.87,2.17351338972929,"CO2uM"
27.68,44.61,48.11,50.44,51.97,166.1,12.0605902710617,"CO2Sat"
4.738,7.795,8.51,9.004,9.411,31.49,2.31762565883576,"CO2M_hy"
27.17,45.48,49.24,51.8,53.38,173.9,13.3024911401092,"CO2St_h"
4.81,7.628,8.366,8.874,9.219,27.96,2.39992484422725,"CO2uM_t"
27.24,44.72,48.07,51.53,53.15,160.6,13.9208109417463,"CO2St_t"
