"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.064,4.493,4.793,4.824,5.166,6.305,0.505891170164921,"Depth"
92.01,110.7,118.7,120.5,125,406.9,18.1832306988809,"XCO2Dpp"
438.9,655.5,693.3,719.2,774.6,1380,95.9247917647163,"XCH4Dpp"
20.72,21.35,21.37,21.38,21.41,21.72,0.0578185245556446,"TempC"
123.4,129.5,129.9,129.7,130.1,130.6,0.617650321694899,"SPCµScm"
0.389,0.6011,0.6308,0.6315,0.6585,1.263,0.0536144946218587,"ChlARFU"
1.425,2.275,2.381,2.394,2.503,5.256,0.221750511938369,"ChlAµgL"
0.5928,0.7907,0.8163,0.8108,0.8338,0.9393,0.0297817399312,"BGAPCRFU"
0.6491,0.8442,0.8722,0.8663,0.8901,1.013,0.0308913883522759,"BGAPCµL"
4.301,5.576,5.714,5.707,5.871,6.761,0.212168815349294,"TurbFNU"
3.927,4.406,4.425,4.41,4.435,4.749,0.0530885720398729,"fDOMRFU"
11.37,13.22,13.27,13.23,13.3,14.33,0.17094123128731,"fDOMQSU"
89.94,93.93,94.73,94.76,95.52,101,1.1292502594701,"ODOsat"
8.018,8.327,8.401,8.405,8.478,8.914,0.102285220143902,"ODOmgL"
8.628,8.829,8.844,8.843,8.853,8.961,0.0222489845245635,"pH"
5.302,6.032,6.117,6.101,6.195,6.847,0.137833592219224,"Pressps"
87.87,107.7,114.1,115.2,119.1,379.7,14.9041698079132,"XCO2Dppm_h"
86.31,106.1,112.6,113.7,118.3,397.6,15.7283972332389,"XCO2Dppm_t"
393.4,572.1,597.7,624.7,654.9,1166,84.8010852919332,"XCH4Dppm_h"
375.4,640.7,670.1,695.2,735.1,1069,85.6150559542424,"XCH4Dppm_t"
20.86,21.37,21.39,21.4,21.42,21.65,0.0502154553745116,"TmpC_hy"
21.07,21.39,21.4,21.41,21.43,21.75,0.0474109172315753,"TempC_t"
126.4,129.6,129.9,129.8,130.1,130.8,0.493593515173456,"SPCµScm_h"
126.9,129.4,129.8,129.6,130,130.6,0.560599007477166,"SPCµScm_t"
0.3919,0.5946,0.6203,0.6188,0.648,0.8081,0.0400524785402515,"ChlARFU_h"
0.3767,0.5884,0.6111,0.6094,0.6388,0.6922,0.0355368191300884,"ChlARFU_t"
1.348,2.242,2.349,2.347,2.472,3.333,0.176168234821056,"ChlAµgL_h"
1.339,2.222,2.321,2.314,2.426,3.254,0.149821408072579,"ChlAµgL_t"
0.604,0.7992,0.8269,0.8217,0.8425,0.9903,0.030243108822177,"BGAPCRFU_h"
0.5735,0.7911,0.8185,0.8114,0.8336,0.93,0.0292209977102721,"BGAPCRFU_t"
0.5732,0.8487,0.8747,0.87,0.8952,0.9822,0.0339711468777893,"BGAPCµgL_h"
0.6469,0.851,0.8783,0.8717,0.8948,1.049,0.0316426096795181,"BGAPCµgL_t"
4.377,5.59,5.716,5.718,5.886,6.21,0.204348323714142,"TrbFNU_h"
4.303,5.467,5.589,5.604,5.746,7.286,0.220194204895462,"TrbFNU_t"
3.803,4.395,4.416,4.402,4.433,4.934,0.064648970835043,"fDOMRFU_h"
3.949,4.393,4.409,4.396,4.418,4.903,0.0573998304793669,"fDOMRFU_t"
11.08,13.18,13.23,13.19,13.27,14.53,0.20061745782079,"fDOMQSU_h"
11.6,13.27,13.32,13.28,13.34,15.14,0.188826276983199,"fDOMQSU_t"
90.95,94.28,95.02,95.07,95.71,101.4,1.10731237594595,"ODOst_h"
90.35,94.25,95.03,95.02,95.7,101.6,1.15964201390137,"ODOst_t"
7.972,8.291,8.356,8.359,8.424,8.859,0.0943680286513781,"ODOmgL_h"
7.892,8.33,8.408,8.408,8.48,8.948,0.107840642550963,"ODOmgL_t"
8.483,8.813,8.829,8.828,8.841,8.936,0.0280050829343029,"pH_hyd"
8.711,8.843,8.854,8.856,8.865,8.985,0.02204100607079,"pH_tau"
0.7274,0.9825,1.033,1.079,1.148,1.902,0.147656089176403,"CH4uM"
17910,33650,35560,37170,39810,72940,5451.19543512127,"CH4Sat"
0.5995,0.9422,0.9971,1.046,1.12,2.121,0.155443462091103,"CH4M_hy"
23310,33880,35590,36770,39180,69480,4824.73513847094,"CH4St_h"
0.6389,0.9993,1.043,1.072,1.113,1.792,0.116907736104352,"CH4uM_t"
8690,32300,33580,34840,36320,58540,4111.52976569682,"CH4St_t"
3.434,4.196,4.419,4.462,4.629,11.69,0.486897086705948,"CO2uM"
23.25,28.14,30.59,31.14,32.44,109.8,5.48713113694396,"CO2Sat"
3.358,4.221,4.498,4.501,4.672,12.12,0.496057198940028,"CO2M_hy"
22.58,27.93,30.33,30.91,32.36,130.3,5.76476419167441,"CO2St_h"
3.71,4.748,5.23,5.372,5.626,29.85,1.34600718915958,"CO2uM_t"
22.12,27.8,29.77,30.05,31.13,112.8,4.71536907079513,"CO2St_t"
