"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.522,3.797,4.14,4.455,4.487,9.431,1.03580558438403,"Depth"
24.29,52.79,59.78,70.76,69.32,173.2,30.0478230126878,"XCO2Dpp"
341.4,527.1,573.9,568,603.5,875.9,75.8386159406758,"XCH4Dpp"
24.56,24.89,25.02,25,25.12,25.56,0.155941239565878,"TempC"
77.97,80.28,81.14,82.07,84.18,85.51,1.9305522582737,"SPCµScm"
0.2243,0.3412,0.5023,0.5245,0.7184,0.8673,0.188502338298328,"ChlARFU"
0.7288,1.134,1.846,1.927,2.727,3.281,0.783997774884551,"ChlAµgL"
0.07135,0.2436,0.371,0.6077,1.041,1.528,0.413405734801792,"BGAPCRFU"
0.1262,0.3246,0.4738,0.704,1.162,1.613,0.430874793359318,"BGAPCµL"
1.601,3.501,4.196,5.164,7.137,8.795,1.92158303218189,"TurbFNU"
3.547,5.497,6.887,6.556,7.884,8.877,1.44411353235651,"fDOMRFU"
10.64,16.43,20.39,19.54,23.46,26.35,4.22087349089915,"fDOMQSU"
112.7,120.1,121,121.4,123.5,130.2,3.66420587970208,"ODOsat"
9.296,9.886,9.972,10.01,10.17,10.68,0.272458357826116,"ODOmgL"
8.302,8.747,8.833,8.794,8.906,9.277,0.173784593456235,"pH"
6.075,6.504,6.604,6.61,6.69,7.069,0.153440402712883,"Pressps"
25.07,52.38,58.34,71.41,70.67,185.3,31.9265081250662,"XCO2Dppm_h"
23.9,50.38,55.45,67.74,66.68,176,30.0711816919461,"XCO2Dppm_t"
306.5,514.3,567.7,561.8,604.7,870.6,81.5155446488357,"XCH4Dppm_h"
302.3,493.3,579.7,567.8,628.1,987.2,102.992030827303,"XCH4Dppm_t"
24.58,24.91,25.01,24.99,25.1,25.47,0.145188716729084,"TmpC_hy"
24.54,24.91,25.02,25.01,25.14,25.48,0.168469177098399,"TempC_t"
78.56,80.35,81.34,82.19,84.31,85.52,1.928147330447,"SPCµScm_h"
78.15,80.3,81.22,82.12,84.22,85.57,1.93122147977411,"SPCµScm_t"
0.2258,0.3344,0.5011,0.5205,0.7139,0.8586,0.186653818438729,"ChlARFU_h"
0.2288,0.3407,0.5045,0.5227,0.7062,0.8674,0.184423225687468,"ChlARFU_t"
0.7432,1.214,1.839,1.95,2.724,3.262,0.763774598525809,"ChlAµgL_h"
0.6838,1.2,1.874,1.972,2.776,3.297,0.777897417731153,"ChlAµgL_t"
0.06209,0.2741,0.4004,0.6358,1.068,1.528,0.415145204232664,"BGAPCRFU_h"
0.05234,0.2746,0.4183,0.6319,1.066,1.481,0.411732322572658,"BGAPCRFU_t"
0.1065,0.3077,0.449,0.6729,1.106,1.568,0.414646848788764,"BGAPCµgL_h"
0.1012,0.3081,0.4349,0.6652,1.099,1.557,0.4150488863499,"BGAPCµgL_t"
1.589,3.472,4.258,5.186,7.219,8.784,1.93233405785219,"TrbFNU_h"
1.66,3.441,4.135,5.097,7.101,8.902,1.88571315067135,"TrbFNU_t"
3.452,5.498,6.824,6.562,7.947,8.88,1.48771100660795,"fDOMRFU_h"
3.453,5.415,6.838,6.532,7.878,8.89,1.46841589120812,"fDOMRFU_t"
10.34,15.99,20.12,19.32,23.44,26.43,4.42450155987949,"fDOMQSU_h"
10.64,16.41,20.48,19.71,23.69,26.55,4.33403141831628,"fDOMQSU_t"
112,119.7,120.7,121.2,123.3,129.8,3.60963934634579,"ODOst_h"
112.9,119.9,120.9,121.4,123.6,130.3,3.63187734540068,"ODOst_t"
9.301,9.91,9.985,10.01,10.18,10.75,0.276326450129867,"ODOmgL_h"
9.313,9.878,9.953,9.989,10.15,10.74,0.276036392627107,"ODOmgL_t"
8.377,8.762,8.849,8.813,8.92,9.281,0.163867551627494,"pH_hyd"
8.368,8.755,8.842,8.799,8.905,9.258,0.169721348015508,"pH_tau"
0.5034,0.7678,0.8362,0.8252,0.8825,1.265,0.111656522193125,"CH4uM"
18340,27370,29660,29360,31270,44410,3839.54204412804,"CH4Sat"
0.4894,0.7566,0.8335,0.8235,0.8885,1.359,0.1211278736165,"CH4M_hy"
16800,27490,29850,29310,31560,44470,4400.16250341868,"CH4St_h"
0.511,0.7427,0.859,0.8441,0.933,1.435,0.146341126658716,"CH4uM_t"
16090,25240,29430,28850,32260,50080,5399.12978190637,"CH4St_t"
0.8802,1.832,2.078,2.462,2.441,5.874,1.03951553401115,"CO2uM"
5.719,12.4,13.8,16.66,16.67,41.24,7.12146042418644,"CO2Sat"
0.8299,1.822,2.027,2.463,2.457,6.491,1.08724253143453,"CO2M_hy"
5.557,12.89,14.42,17.42,17.29,44.31,7.60042598733437,"CO2St_h"
0.8747,1.814,2.029,2.455,2.446,6.305,1.09616561541712,"CO2uM_t"
6.234,12.95,14.64,17.58,17.34,45.54,7.7764098788479,"CO2St_t"
