"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.864,8.317,8.943,9.157,9.892,18.14,1.67818601077931,"Depth"
312.7,346.2,350.3,352.2,356.9,460.9,13.1395095229258,"XCO2Dpp"
160.9,178.9,181,182.4,186.3,221,5.41412268794626,"XCH4Dpp"
23.35,23.44,23.46,23.48,23.5,23.83,0.0594834592119624,"TempC"
95.51,96.39,96.43,96.41,96.44,96.5,0.0558453396494316,"SPCµScm"
0.1741,0.1914,0.1934,0.1936,0.1952,0.2304,0.00369246922975024,"ChlARFU"
0.5554,0.5921,0.5965,0.5979,0.6013,0.7334,0.0126604663446465,"ChlAµgL"
-0.05724,-0.0479,-0.04735,-0.04746,-0.04695,-0.03969,0.00115773180100411,"BGAPCRFU"
-0.005468,-0.0004763,-3.415e-05,-9.047e-05,0.0002978,0.005381,0.000864246285768663,"BGAPCµL"
-0.03804,0.6428,0.7198,0.6841,0.7835,1.054,0.164601025140731,"TurbFNU"
1.735,1.944,1.962,1.966,1.983,3.356,0.0789743922764517,"fDOMRFU"
5.376,6.046,6.114,6.15,6.227,11.89,0.325618880415323,"fDOMQSU"
100.1,102,102.3,102.3,102.6,103.3,0.378847304138231,"ODOsat"
8.482,8.646,8.676,8.673,8.704,8.752,0.0361358770372898,"ODOmgL"
7.915,7.998,8.004,8.003,8.01,8.055,0.0132044052243193,"pH"
3.337,3.625,3.669,3.652,3.699,3.816,0.0721002865360361,"Pressps"
312.2,343.7,347.4,348,351.8,434.1,9.50036157924439,"XCO2Dppm_h"
309,342.5,346.8,347.6,351.3,461.4,11.4726147015475,"XCO2Dppm_t"
165.4,177.9,180.9,181.8,185.5,216.5,5.94987890670517,"XCH4Dppm_h"
154.9,170.4,174.6,175.4,179.2,208.8,6.56120728152482,"XCH4Dppm_t"
23.34,23.44,23.46,23.48,23.5,23.85,0.0629160995250662,"TmpC_hy"
23.34,23.44,23.47,23.48,23.51,23.83,0.0600169191187608,"TempC_t"
95.87,96.39,96.42,96.41,96.44,96.53,0.0469172024822135,"SPCµScm_h"
95.34,96.38,96.41,96.4,96.43,96.5,0.058988915654109,"SPCµScm_t"
0.1809,0.1924,0.1938,0.1945,0.1956,0.2376,0.00351741270767668,"ChlARFU_h"
0.1804,0.1924,0.1939,0.1942,0.1952,0.2271,0.00354036595679306,"ChlARFU_t"
0.5313,0.5846,0.5909,0.5921,0.5965,0.7294,0.0135976253158965,"ChlAµgL_h"
0.5326,0.5761,0.5855,0.5863,0.595,0.7064,0.0174666163409563,"ChlAµgL_t"
-0.0558,-0.04794,-0.04711,-0.04713,-0.04629,-0.037,0.00126782118804761,"BGAPCRFU_h"
-0.05869,-0.048,-0.04713,-0.04684,-0.04574,-0.02858,0.0018539018328333,"BGAPCRFU_t"
-0.01151,0.0001341,0.000619,0.0005546,0.0009896,0.005868,0.000999579346572569,"BGAPCµgL_h"
-0.02136,-0.001689,-0.0007437,-0.0008082,7.963e-05,0.007883,0.00180382900276708,"BGAPCµgL_t"
0.04343,0.7215,0.7929,0.7582,0.8493,1.13,0.149063640875905,"TrbFNU_h"
-0.04169,0.7028,0.7845,0.7425,0.843,1.107,0.165579152048056,"TrbFNU_t"
1.739,1.953,1.975,1.989,2.012,3.604,0.103713638709023,"fDOMRFU_h"
1.737,1.945,1.962,1.971,1.984,3.545,0.0913237546166983,"fDOMRFU_t"
5.363,6.074,6.137,6.124,6.189,10.6,0.261067807499061,"fDOMQSU_h"
5.375,6.036,6.093,6.096,6.15,10.5,0.24091530670057,"fDOMQSU_t"
100.7,102,102.3,102.2,102.5,103.2,0.364363666720094,"ODOst_h"
100.3,102.1,102.4,102.4,102.7,103.1,0.372888329886367,"ODOst_t"
8.498,8.661,8.692,8.687,8.713,8.762,0.0333225041451139,"ODOmgL_h"
8.512,8.66,8.691,8.687,8.717,8.792,0.0374367141378237,"ODOmgL_t"
7.894,7.997,8.003,8.003,8.009,8.055,0.0135800795669851,"pH_hyd"
7.915,7.998,8.004,8.004,8.011,8.053,0.0131634057466982,"pH_tau"
0.2543,0.2738,0.2769,0.279,0.2846,0.3304,0.00809199718139637,"CH4uM"
8421,9291,9466,9523,9761,11460,317.322732384878,"CH4Sat"
0.2552,0.27,0.2747,0.2766,0.2824,0.3234,0.00877575022808127,"CH4M_hy"
8816,9283,9461,9516,9730,11580,316.179295638059,"CH4St_h"
0.2475,0.2633,0.2695,0.27,0.2755,0.3139,0.00881601252935109,"CH4uM_t"
7832,8973,9192,9232,9445,11030,316.984326113907,"CH4St_t"
11.56,12.97,13.11,13.1,13.26,17.7,0.37755373246696,"CO2uM"
77.5,86.23,87.06,87.25,88.18,118.2,3.03711227970961,"CO2Sat"
11.66,12.91,13.09,13.08,13.23,16.85,0.392057068285638,"CO2M_hy"
77.05,86.4,87.42,87.73,88.82,119.1,3.32187056294502,"CO2St_h"
11.56,12.82,13.02,13.02,13.19,16.25,0.39634267924363,"CO2uM_t"
77,85.76,86.8,86.91,88.01,106.9,2.63718959599488,"CO2St_t"
