"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.43,3.863,4.233,4.119,4.503,5.652,0.535402209732762,"Depth"
76.24,92.85,94.2,92.89,95.24,101.9,4.06524894661846,"XCO2Dpp"
130.8,140,142.9,144,147.2,182.2,6.42126153057327,"XCH4Dpp"
24.61,24.74,24.77,24.84,24.86,25.52,0.159287994674979,"TempC"
89.64,90.56,90.66,90.64,90.77,91.27,0.225997926415667,"SPCµScm"
0.3761,0.4243,0.4326,0.4307,0.438,0.4617,0.0112488466461981,"ChlARFU"
1.325,1.519,1.553,1.545,1.578,1.722,0.0452227275696981,"ChlAµgL"
0.2509,0.2772,0.2821,0.2806,0.2851,0.3071,0.00676316081328885,"BGAPCRFU"
0.2904,0.3271,0.3322,0.3307,0.3359,0.3592,0.00767582310732039,"BGAPCµL"
2.502,3.792,3.973,3.909,4.066,4.86,0.237294866674468,"TurbFNU"
6.987,7.141,7.165,7.158,7.18,7.396,0.0371081078924194,"fDOMRFU"
20.62,21.32,21.4,21.38,21.45,22.07,0.107256636940284,"fDOMQSU"
113.4,115.6,115.8,115.8,116.1,117.3,0.41174323905848,"ODOsat"
9.441,9.585,9.601,9.596,9.61,9.701,0.0251868569871458,"ODOmgL"
8.563,8.595,8.6,8.614,8.614,8.77,0.0354687979920008,"pH"
3.527,5.205,5.392,5.234,5.486,5.905,0.412619926325052,"Pressps"
75.5,92.92,94.52,93.02,95.39,102.8,4.24961787080016,"XCO2Dppm_h"
75.22,93.48,95.08,93.73,95.87,120.8,3.9620841976877,"XCO2Dppm_t"
128.4,139.6,142.3,144,147.4,189.1,7.14581419293356,"XCH4Dppm_h"
124.7,139.1,141.7,144.6,147.3,230.4,9.54628502508448,"XCH4Dppm_t"
24.63,24.73,24.76,24.83,24.86,25.57,0.166451418293519,"TmpC_hy"
24.6,24.72,24.76,24.83,24.85,25.57,0.169820834949085,"TempC_t"
89.7,90.52,90.61,90.6,90.71,91.3,0.215388735484753,"SPCµScm_h"
89.66,90.52,90.61,90.6,90.73,91.32,0.219732939291749,"SPCµScm_t"
0.369,0.424,0.4329,0.4306,0.4384,0.4592,0.0114267834302132,"ChlARFU_h"
0.3738,0.4219,0.4312,0.4283,0.4371,0.4642,0.0122617997592342,"ChlARFU_t"
1.286,1.522,1.564,1.551,1.586,1.774,0.0488362483796683,"ChlAµgL_h"
1.31,1.513,1.549,1.54,1.574,1.728,0.0480676189392146,"ChlAµgL_t"
0.2404,0.2755,0.2815,0.2797,0.2852,0.3017,0.00729934356377876,"BGAPCRFU_h"
0.2467,0.2782,0.284,0.2823,0.2876,0.3138,0.00783536797127156,"BGAPCRFU_t"
0.2965,0.3285,0.3335,0.3317,0.3363,0.358,0.00699418151413124,"BGAPCµgL_h"
0.2887,0.3275,0.3331,0.332,0.3373,0.403,0.00854927389780691,"BGAPCµgL_t"
2.823,3.817,3.98,3.928,4.094,5.109,0.240106672149756,"TrbFNU_h"
2.881,3.857,4.037,3.982,4.166,4.935,0.254884546856599,"TrbFNU_t"
7.018,7.162,7.19,7.184,7.209,7.485,0.0398490690327992,"fDOMRFU_h"
6.995,7.159,7.185,7.177,7.199,7.43,0.036780617212845,"fDOMRFU_t"
20.88,21.3,21.37,21.36,21.43,22.08,0.109657033367347,"fDOMQSU_h"
20.7,21.35,21.42,21.4,21.46,22.27,0.115939690411165,"fDOMQSU_t"
113.5,115.6,115.8,115.8,116.1,117.5,0.385396638299532,"ODOst_h"
112.8,115.5,115.8,115.8,116.1,117.7,0.465985682511101,"ODOst_t"
9.404,9.591,9.606,9.602,9.616,9.72,0.0277580248108216,"ODOmgL_h"
9.367,9.591,9.611,9.604,9.623,9.815,0.0337410264777887,"ODOmgL_t"
8.561,8.595,8.601,8.614,8.613,8.775,0.0355321456299823,"pH_hyd"
8.565,8.596,8.602,8.615,8.613,8.773,0.0353993443903649,"pH_tau"
0.192,0.2092,0.214,0.2163,0.2225,0.2661,0.0116439311566622,"CH4uM"
6839,7352,7468,7547,7694,9624,347.880977784498,"CH4Sat"
0.1877,0.2049,0.2082,0.2105,0.2148,0.2821,0.0104706511138518,"CH4M_hy"
6945,7329,7457,7557,7713,10350,341.075635039672,"CH4St_h"
0.1795,0.2028,0.2075,0.2115,0.2151,0.3391,0.0145702163167544,"CH4uM_t"
6757,7274,7416,7552,7664,11060,482.8768979895,"CH4St_t"
2.614,3.364,3.431,3.369,3.464,3.72,0.171648659004399,"CO2uM"
18.98,23.15,23.59,23.19,23.83,25.36,1.10316821704565,"CO2Sat"
2.687,3.387,3.444,3.39,3.473,3.715,0.15209849312543,"CO2M_hy"
18.36,23.29,23.72,23.37,23.99,25.47,1.05021502115113,"CO2St_h"
2.487,3.367,3.432,3.368,3.477,3.727,0.193537034069731,"CO2uM_t"
18.19,23.11,23.53,23.15,23.83,25.79,1.17580281330741,"CO2St_t"
