"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.966,6.513,7.433,7.352,8.131,16.02,1.44778377331493,"Depth"
305.9,407.9,416.7,416.6,427.8,481.9,23.2511761003314,"XCO2Dpp"
183.6,221.3,230.3,242.4,253.4,424.1,32.895258963531,"XCH4Dpp"
23.51,23.74,23.8,23.84,23.89,24.46,0.144125348325603,"TempC"
87.83,93.22,93.41,93.18,93.48,94.1,0.759451788902836,"SPCµScm"
0.2913,0.3141,0.3177,0.3189,0.3228,0.3916,0.00937855022664147,"ChlARFU"
0.9775,1.083,1.092,1.1,1.116,1.357,0.0356904844162844,"ChlAµgL"
-0.04205,-0.03099,-0.02953,-0.03017,-0.02865,-0.01846,0.00267001403648565,"BGAPCRFU"
-0.002484,0.01563,0.01707,0.01649,0.01805,0.027,0.0027761660912172,"BGAPCµL"
0.1638,0.784,0.8878,0.856,0.9561,1.234,0.164356117907493,"TurbFNU"
6.768,7.68,7.744,7.744,7.803,8.773,0.185463004442137,"fDOMRFU"
20.35,22.97,23.22,23.25,23.52,26.43,0.592695561866519,"fDOMQSU"
98.66,100.6,100.8,100.8,100.9,105.2,0.414649526070742,"ODOsat"
8.386,8.499,8.518,8.521,8.541,8.877,0.036689027117487,"ODOmgL"
7.85,7.919,7.929,7.933,7.942,8.105,0.0271577781097355,"pH"
3.328,3.504,3.559,3.558,3.616,3.778,0.0662041122216014,"Pressps"
300.7,408.7,416.5,417,428.2,489.6,21.2401465952804,"XCO2Dppm_h"
266.5,409,417.2,417.7,428.9,510.8,24.8161185948087,"XCO2Dppm_t"
173,216.3,227.5,239,251.6,407.5,33.9699548747359,"XCH4Dppm_h"
166.8,201.8,212,225.3,236.1,363.1,33.7042458030678,"XCH4Dppm_t"
23.54,23.69,23.76,23.79,23.86,24.46,0.138069791413281,"TmpC_hy"
23.51,23.73,23.79,23.82,23.88,24.48,0.137764500708983,"TempC_t"
88.13,93.22,93.41,93.19,93.51,94.35,0.777804001517966,"SPCµScm_h"
88.78,93.32,93.48,93.27,93.54,94.1,0.668373009154418,"SPCµScm_t"
0.2836,0.3112,0.315,0.316,0.3196,0.3834,0.00902948233281962,"ChlARFU_h"
0.2829,0.3117,0.3152,0.3169,0.3212,0.3899,0.00945011869466722,"ChlARFU_t"
0.942,1.083,1.097,1.103,1.12,1.38,0.0373591621125023,"ChlAµgL_h"
0.9662,1.079,1.095,1.097,1.113,1.362,0.0379723481483292,"ChlAµgL_t"
-0.05083,-0.03009,-0.02847,-0.02905,-0.02739,-0.01979,0.00274898185234346,"BGAPCRFU_h"
-0.05241,-0.0308,-0.02936,-0.02977,-0.02822,-0.01403,0.00270084219933807,"BGAPCRFU_t"
-0.007361,0.01652,0.01789,0.01744,0.0189,0.02741,0.00266692779273374,"BGAPCµgL_h"
-0.002232,0.01624,0.01757,0.01725,0.01902,0.03113,0.00313617091082376,"BGAPCµgL_t"
0.1979,0.7764,0.9024,0.8581,0.9759,1.198,0.163328362780869,"TrbFNU_h"
0.2266,0.7365,0.8718,0.8296,0.9416,1.284,0.164361860128413,"TrbFNU_t"
6.548,7.674,7.732,7.744,7.838,8.475,0.191419500465251,"fDOMRFU_h"
6.619,7.67,7.775,7.76,7.866,8.537,0.207785676588467,"fDOMRFU_t"
20.36,22.86,23.05,23.02,23.2,25.4,0.491582995103677,"fDOMQSU_h"
20.24,22.82,23.05,23.05,23.27,25.43,0.520007320542003,"fDOMQSU_t"
98.39,100.8,101,101,101.2,106.3,0.538637195547593,"ODOst_h"
98.71,100.6,100.8,100.9,101,107.5,0.572094787505588,"ODOst_t"
8.361,8.511,8.529,8.531,8.55,8.928,0.0369944972161257,"ODOmgL_h"
8.365,8.481,8.5,8.502,8.524,8.852,0.0395682261220924,"ODOmgL_t"
7.83,7.916,7.928,7.93,7.941,8.169,0.0298976893417634,"pH_hyd"
7.828,7.92,7.931,7.933,7.942,8.183,0.0288825868641918,"pH_tau"
0.2724,0.3304,0.3457,0.3641,0.3813,0.5516,0.0494977975160704,"CH4uM"
9597,11530,11960,12630,13280,19570,1739.72224901515,"CH4Sat"
0.2594,0.3333,0.3453,0.3663,0.3857,0.5693,0.0512215779578453,"CH4M_hy"
8658,11350,11790,12470,13100,19620,1748.72724819057,"CH4St_h"
0.2663,0.3113,0.3236,0.3432,0.3573,0.541,0.0485774915639727,"CH4uM_t"
8513,10540,10990,11690,12210,19900,1755.28824840774,"CH4St_t"
10.36,15.14,15.49,15.5,15.96,18.16,0.909346236036213,"CO2uM"
64.22,101.8,103.8,103.7,106.1,120.7,5.38622891171142,"CO2Sat"
10.74,15.21,15.58,15.53,15.98,18.29,0.886283230098565,"CO2M_hy"
75.45,102.1,104.3,104.5,107.1,128.8,5.69995857650911,"CO2St_h"
10.34,15.32,15.67,15.68,16.12,19.3,0.940846073609988,"CO2uM_t"
68.59,102.5,104.7,104.8,107.6,129.7,5.85783719354537,"CO2St_t"
