"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
NA,NA,NA,NA,NA,NA,NA,"Depth"
671.1,849,911.3,908.4,965.8,1111,67.8668739006915,"XCO2Dpp"
481.7,627.7,648.2,646,663.9,823.2,30.6586787790932,"XCH4Dpp"
20.99,21.12,21.15,21.14,21.16,21.23,0.0256297523279335,"TempC"
54.53,56.21,56.51,56.52,56.75,59.42,0.41123450082528,"SPCµScm"
0.3283,0.3654,0.388,0.3957,0.4166,0.6319,0.0385355619905484,"ChlARFU"
0.9571,1.26,1.341,1.38,1.448,2.448,0.164489666426407,"ChlAµgL"
-0.04006,-0.03221,-0.02899,-0.0291,-0.02664,-0.008358,0.00414344725516841,"BGAPCRFU"
0.003724,0.01505,0.01821,0.01823,0.02079,0.04583,0.00425262575346602,"BGAPCµL"
0.01056,0.06074,0.0774,0.0855,0.1026,0.3987,0.0339295292645523,"TurbFNU"
6.839,7.016,7.037,7.044,7.061,7.364,0.0481719457482672,"fDOMRFU"
19.7,20.9,20.95,20.98,21.02,21.99,0.138771539468633,"fDOMQSU"
95.01,97.55,98.18,97.93,98.43,99.92,0.694722948876295,"ODOsat"
8.444,8.652,8.701,8.682,8.729,8.878,0.0605696454842478,"ODOmgL"
6.2,6.3,6.322,6.313,6.328,6.41,0.0218358482734709,"pH"
5.045,5.413,5.44,5.43,5.459,5.666,0.0548478922967935,"Pressps"
660.3,796.9,870.6,870.8,926.4,1133,78.6792539149116,"XCO2Dppm_h"
620.4,794.9,864.2,867.4,925.2,1119,78.4372690581209,"XCO2Dppm_t"
434.4,618.5,634.4,634.4,650.4,808,30.4266843377706,"XCH4Dppm_h"
1052,2034,2242,2252,2420,4963,299.918602958885,"XCH4Dppm_t"
20.98,21.12,21.15,21.15,21.17,21.24,0.0302658082719721,"TmpC_hy"
21,21.12,21.15,21.14,21.16,21.21,0.0263045186788217,"TempC_t"
55.02,56.26,56.63,56.58,56.84,59.42,0.446432127464092,"SPCµScm_h"
54.7,56.19,56.47,56.48,56.68,58.79,0.401428316362189,"SPCµScm_t"
0.283,0.3478,0.3642,0.37,0.3853,0.6501,0.0331138267018211,"ChlARFU_h"
0.303,0.3667,0.38,0.3875,0.4044,0.5802,0.0280929527086733,"ChlARFU_t"
1.068,1.233,1.31,1.338,1.407,2.698,0.143610252268507,"ChlAµgL_h"
1.001,1.243,1.31,1.349,1.422,3.925,0.163611154727203,"ChlAµgL_t"
-0.04817,-0.03419,-0.03174,-0.03105,-0.02865,-0.005172,0.00425003010942112,"BGAPCRFU_h"
-0.04876,-0.03425,-0.03221,-0.03184,-0.03003,-0.01013,0.00334082613728242,"BGAPCRFU_t"
0.003556,0.01667,0.01909,0.01959,0.02218,0.04592,0.00480373452835958,"BGAPCµgL_h"
-0.0008964,0.01496,0.01712,0.01735,0.01936,0.04762,0.00358074177174649,"BGAPCµgL_t"
0.01443,0.06249,0.08256,0.08855,0.1057,0.3499,0.0350110885956902,"TrbFNU_h"
-0.001962,0.05641,0.07263,0.07968,0.09993,0.3471,0.0304794315563657,"TrbFNU_t"
6.829,7.007,7.026,7.032,7.045,7.335,0.0407395325608746,"fDOMRFU_h"
6.855,7.013,7.037,7.042,7.063,7.278,0.0445575545258628,"fDOMRFU_t"
19.95,20.9,20.96,21,21.04,22,0.15434955564627,"fDOMQSU_h"
20.28,20.89,20.95,20.99,21.03,21.96,0.162181947305612,"fDOMQSU_t"
95.19,97.29,97.9,97.71,98.25,99.94,0.718497483528197,"ODOst_h"
95.24,97.31,98.02,97.78,98.37,99.8,0.79844641329675,"ODOst_t"
8.463,8.647,8.714,8.688,8.736,8.85,0.0642625604516131,"ODOmgL_h"
8.448,8.648,8.718,8.695,8.745,8.862,0.070379933681161,"ODOmgL_t"
6.196,6.301,6.321,6.311,6.325,6.377,0.0216199419162796,"pH_hyd"
6.195,6.293,6.327,6.312,6.334,6.403,0.0303088699566136,"pH_tau"
0.8064,0.9528,0.9784,0.9771,1,1.305,0.0457612032344956,"CH4uM"
25950,32580,33360,33220,33960,40700,1291.62144845312,"CH4Sat"
0.6734,0.9978,1.034,1.032,1.068,1.316,0.0555364178425393,"CH4M_hy"
27020,33480,34190,34440,35460,43790,1568.23272292528,"CH4St_h"
1.985,5.086,5.467,5.593,5.912,14.78,0.870231761597518,"CH4uM_t"
67390,130600,142300,144600,153500,353200,21732.7074629006,"CH4St_t"
28.26,32.81,35.12,35.44,37.88,48.59,2.84223164986752,"CO2uM"
171.1,211.1,226.5,225.2,238.8,268.7,16.3431670725734,"CO2Sat"
25.57,32.8,35.55,35.53,37.87,48.73,2.96764260980864,"CO2M_hy"
154.6,204,218.9,220.7,234.6,302.7,18.0594532872636,"CO2St_h"
25.9,32.76,35.65,35.54,37.72,49.54,3.01946201007995,"CO2uM_t"
155.5,204,219.8,220.8,234.3,281.3,18.6052273510008,"CO2St_t"
