"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.596,8.498,9.87,9.429,10.5,13.08,1.63174273756786,"Depth"
424.5,434.1,435.8,440.2,443.9,507.8,9.97333947079674,"XCO2Dpp"
508.3,550.7,564,573.6,585.7,783.5,37.5299754584754,"XCH4Dpp"
22.12,22.16,22.18,22.18,22.19,22.24,0.0187374212686849,"TempC"
16.25,16.29,16.3,16.3,16.3,16.32,0.0079988972888942,"SPCuScm"
0.1837,0.1925,0.1958,0.1992,0.1997,0.3034,0.0127528413394289,"ChlARFU"
0.7587,0.819,0.8347,0.8522,0.8591,1.328,0.0618386400383599,"ChlAugL"
0.02569,0.03966,0.04143,0.04229,0.04331,0.06506,0.004108878032586,"BGAPCRFU"
0.04533,0.05441,0.0563,0.05666,0.05821,0.08356,0.00336593084311213,"BGAPCgL"
-0.2313,-0.1741,-0.1598,-0.1539,-0.142,0.005428,0.0292418363485714,"TurbFNU"
2.4,2.45,2.459,2.467,2.485,2.644,0.0268759086614226,"fDOMRFU"
7.286,7.408,7.459,7.475,7.51,7.965,0.0961815392587445,"fDOMQSU"
94.13,94.68,94.73,94.75,94.8,95.59,0.136508913281143,"ODOsat"
8.189,8.249,8.252,8.254,8.258,8.313,0.0108256784981416,"ODOmgL"
6.69,6.755,6.764,6.764,6.769,6.88,0.0180640903469877,"pH"
8.261,9.548,9.769,9.783,10.03,11.4,0.394228880808899,"Pressps"
1.348,2.134,2.246,2.265,2.359,2.95,0.183364506712258,"NITRATEU"
0.02528,0.03022,0.0304,0.03055,0.0307,0.03625,0.000658749850703862,"NITRATEM"
0.502,0.5366,0.5435,0.5404,0.5467,0.556,0.00944197673161302,"ABS254"
0.3514,0.3586,0.3597,0.3593,0.36,0.3742,0.00231416078348179,"ABS350"
22.42,24.19,24.52,24.47,24.81,25.61,0.478135734715117,"TINT"
25.68,26.5,26.62,26.54,26.69,27.04,0.242298772478506,"TSPEC"
22.73,25.64,25.82,25.71,25.94,26.75,0.446251965556534,"TLAMP"
426.1,437.1,440.1,445.4,451.7,504.3,11.6763386615415,"XCO2Dppm_h"
421.6,435.5,439.8,445.2,453.9,507.3,12.1637662446409,"XCO2Dppm_t"
485.4,545.8,557.1,563,572.1,824.7,36.2645499469518,"XCH4Dppm_h"
440,522.3,533.4,542.5,549.2,902.4,41.1004314361632,"XCH4Dppm_t"
22.07,22.17,22.18,22.18,22.2,22.24,0.0177052918520573,"TmpC_hy"
22.07,22.17,22.19,22.19,22.2,22.25,0.0165846436488481,"TempC_t"
16.25,16.3,16.3,16.3,16.3,16.33,0.00600205672275012,"SPCScm_h"
16.23,16.29,16.3,16.29,16.3,16.33,0.00844812788687388,"SPCScm_t"
0.1804,0.1945,0.1976,0.201,0.2021,0.3037,0.0121164890257779,"ChlARFU_h"
0.1731,0.1927,0.1957,0.1982,0.2004,0.282,0.00923879899723694,"ChlARFU_t"
0.7517,0.8114,0.827,0.8371,0.8383,1.251,0.0496984433173811,"ChlAgL_h"
0.7377,0.8284,0.8398,0.8543,0.8616,1.262,0.0514878223895607,"ChlAgL_t"
0.01684,0.03921,0.04173,0.04175,0.04354,0.06896,0.00416706848415469,"BGAPCRFU_h"
0.02491,0.03766,0.04072,0.04011,0.04181,0.06124,0.00352649255242072,"BGAPCRFU_t"
0.03926,0.05406,0.0563,0.05615,0.05768,0.0805,0.00396416961018939,"BGAPCgL_h"
0.03656,0.05308,0.05483,0.05573,0.05775,0.08133,0.00444110671203571,"BGAPCgL_t"
-0.2108,-0.1669,-0.1507,-0.1457,-0.1373,0.01091,0.0332312407961821,"TrbFNU_h"
-0.2174,-0.171,-0.1569,-0.1486,-0.1392,0.02376,0.0357690331454465,"TrbFNU_t"
2.402,2.44,2.452,2.462,2.485,2.61,0.0317568549310502,"fDOMRFU_h"
2.401,2.446,2.459,2.467,2.487,2.615,0.0318507482069306,"fDOMRFU_t"
7.249,7.382,7.426,7.443,7.492,7.903,0.0913695365592551,"fDOMQSU_h"
7.267,7.381,7.416,7.444,7.512,7.872,0.0901243588183741,"fDOMQSU_t"
94.04,94.61,94.65,94.68,94.74,95.45,0.152146729499947,"ODOst_h"
94.11,94.6,94.65,94.67,94.73,95.65,0.142329931097918,"ODOst_t"
8.189,8.246,8.251,8.251,8.256,8.335,0.013999907105685,"ODOmgL_h"
8.197,8.241,8.244,8.246,8.25,8.311,0.0107512265857637,"ODOmgL_t"
6.701,6.762,6.769,6.771,6.772,6.896,0.0202260504676045,"pH_hyd"
6.701,6.765,6.769,6.77,6.775,6.883,0.0147719954228381,"pH_tau"
0.7399,0.8538,0.8812,0.8889,0.9153,1.224,0.0562435600792024,"CH4uM"
25650,28800,29480,29530,29920,40250,1385.55098164119,"CH4Sat"
0.7703,0.8337,0.8503,0.8607,0.8682,1.228,0.0503373015796512,"CH4M_hy"
25540,28230,28950,28990,29450,40040,1355.06394184501,"CH4St_h"
0.7337,0.8426,0.8604,0.875,0.8845,1.363,0.0615135133821605,"CH4uM_t"
25220,27930,28360,29320,29400,47550,2768.37596238087,"CH4St_t"
16.6,17.07,17.17,17.4,17.65,20.11,0.495704959672244,"CO2uM"
107.2,109.4,110.1,111.4,112.9,127.4,2.88378266169534,"CO2Sat"
16.63,17.09,17.26,17.42,17.69,19.62,0.422802615232512,"CO2M_hy"
107.5,109.3,110.4,111.6,113.4,124.9,2.91353058823713,"CO2St_h"
16,16.97,17.14,17.3,17.52,19.74,0.480747740023204,"CO2uM_t"
105.9,108.6,109.5,110.9,112.7,124.4,3.07566316840927,"CO2St_t"
