"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
2.064,5.359,6.42,6.736,7.628,16.06,1.99624041366397,"Depth"
259.4,278.7,283.4,286.2,289.9,377.4,11.5094915362065,"XCO2Dpp"
127.3,203.9,209.9,209.4,215.6,271,11.8380440692229,"XCH4Dpp"
21.19,21.27,21.29,21.29,21.31,21.35,0.0228262924344262,"TempC"
20,20.13,20.15,20.15,20.17,20.26,0.028625404972682,"SPCµScm"
0.1088,0.1266,0.1314,0.1326,0.1372,0.1597,0.00738026051639794,"ChlARFU"
0.2906,0.3328,0.3533,0.3562,0.3743,0.4541,0.0280083161138797,"ChlAµgL"
-0.06159,-0.04914,-0.04775,-0.04804,-0.047,-0.03644,0.00191776220245037,"BGAPCRFU"
-0.0132,-0.0007852,0.0005669,0.0004163,0.001494,0.01409,0.00190064865616723,"BGAPCµL"
0.1103,0.4996,0.5785,0.5626,0.6253,0.9946,0.105732446900723,"TurbFNU"
0.2604,0.3319,0.3383,0.3347,0.3421,0.3586,0.0121253483756742,"fDOMRFU"
1.008,1.285,1.305,1.297,1.317,1.39,0.0335649422514912,"fDOMQSU"
105.8,106.9,107.2,107.1,107.3,108.3,0.305620283374341,"ODOsat"
9.363,9.482,9.505,9.5,9.523,9.639,0.0316556917392911,"ODOmgL"
7.46,7.494,7.502,7.502,7.509,7.555,0.0114895056555465,"pH"
4.871,6.33,6.401,6.378,6.465,7.088,0.159798545175175,"Pressps"
253.1,275.9,280.7,282.9,287.5,367.6,10.4556876889535,"XCO2Dppm_h"
251.5,274.2,279,281.8,285.5,376.8,10.7034266521849,"XCO2Dppm_t"
132.2,203.6,208.6,209.5,215.8,282.2,12.977546220333,"XCH4Dppm_h"
133.9,209.8,219.1,218,226.8,332.1,14.8470770658005,"XCH4Dppm_t"
21.2,21.27,21.29,21.29,21.31,21.36,0.0266440082106699,"TmpC_hy"
21.2,21.27,21.29,21.29,21.31,21.37,0.0270172433025284,"TempC_t"
19.98,20.12,20.14,20.14,20.15,20.25,0.026223519165554,"SPCµScm_h"
20.02,20.12,20.14,20.14,20.16,20.26,0.0283277112318543,"SPCµScm_t"
0.1125,0.1268,0.1325,0.1332,0.1384,0.1613,0.00798559300994584,"ChlARFU_h"
0.1209,0.1301,0.1337,0.1351,0.1388,0.1577,0.00612080264543802,"ChlARFU_t"
0.2674,0.3246,0.3491,0.3514,0.3716,0.4615,0.0337911402718751,"ChlAµgL_h"
0.29,0.3296,0.3484,0.3533,0.3706,0.4542,0.0292969583685271,"ChlAµgL_t"
-0.06309,-0.04847,-0.04711,-0.04738,-0.04613,-0.03014,0.00216221395724981,"BGAPCRFU_h"
-0.07255,-0.04898,-0.04786,-0.04794,-0.04695,-0.0363,0.00204955445034114,"BGAPCRFU_t"
-0.01099,-0.001211,0.0001872,-6.673e-05,0.001262,0.00996,0.00221193441200026,"BGAPCµgL_h"
-0.008651,-5.241e-05,0.001716,0.001396,0.002924,0.02028,0.00244698367587451,"BGAPCµgL_t"
-0.002647,0.5141,0.632,0.6079,0.696,1.136,0.137695349857871,"TrbFNU_h"
0.04562,0.5407,0.6548,0.6399,0.7255,1.325,0.14894963372376,"TrbFNU_t"
0.2693,0.333,0.3392,0.3372,0.344,0.3727,0.0097470295306295,"fDOMRFU_h"
0.2523,0.3317,0.3383,0.3362,0.3435,0.3771,0.0112973573227064,"fDOMRFU_t"
1.085,1.28,1.3,1.292,1.314,1.354,0.0332249726516601,"fDOMQSU_h"
1.115,1.282,1.302,1.295,1.317,1.415,0.0320733423884579,"fDOMQSU_t"
105.6,107,107.3,107.2,107.5,108.9,0.338211076480379,"ODOst_h"
105.9,107.1,107.3,107.3,107.5,108.9,0.352494172486685,"ODOst_t"
9.374,9.489,9.511,9.506,9.525,9.733,0.028125837601922,"ODOmgL_h"
9.375,9.477,9.498,9.492,9.509,9.639,0.02867078610451,"ODOmgL_t"
7.453,7.492,7.5,7.5,7.507,7.556,0.0114423135932371,"pH_hyd"
7.446,7.494,7.503,7.503,7.51,7.553,0.0120589949751592,"pH_tau"
0.2024,0.3072,0.3143,0.3159,0.3248,0.3761,0.0173909120367996,"CH4uM"
6723,10840,11160,11180,11500,14050,663.735234675566,"CH4Sat"
0.2042,0.3058,0.3121,0.3131,0.3215,0.4251,0.0178328823731754,"CH4M_hy"
6698,10580,10870,10900,11210,15030,656.712649830832,"CH4St_h"
0.192,0.3034,0.3169,0.3168,0.3309,0.4033,0.0225826874351476,"CH4uM_t"
6921,11000,11340,11380,11740,14380,712.959024664722,"CH4St_t"
9.831,10.43,10.58,10.69,10.84,14.11,0.385546876468322,"CO2uM"
64.5,68.88,70.25,70.93,72.27,90.95,2.82395556532506,"CO2Sat"
9.727,10.36,10.56,10.67,10.85,12.95,0.410906719475769,"CO2M_hy"
65.28,68.78,69.67,70.13,70.8,92.23,2.09821158611485,"CO2St_h"
9.848,10.44,10.63,10.73,10.9,14.09,0.397504583501177,"CO2uM_t"
65.45,69.17,70.21,70.83,71.82,93.97,2.42971616106972,"CO2St_t"
