"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.388,2.607,2.828,2.806,3.055,3.707,0.3202535433082,"Depth"
259.7,540.9,590.4,581.7,634.3,798.8,76.0365221855218,"XCO2Dpp"
68.17,101.6,110.1,115,123.9,242.2,20.2624002228037,"XCH4Dpp"
20.54,21.15,21.2,21.18,21.24,21.31,0.0919961680527577,"TempC"
98.66,101,101.2,101.2,101.4,106.5,0.658262820157823,"SPCµScm"
0.4503,0.5226,0.5289,0.5267,0.5338,0.595,0.0122008999555332,"ChlARFU"
1.64,1.933,1.959,1.952,1.98,2.428,0.0540024113558306,"ChlAµgL"
0.03654,0.05421,0.05663,0.05682,0.05936,0.1202,0.00469251186788207,"BGAPCRFU"
0.08617,0.1034,0.1058,0.1053,0.1077,0.1451,0.00407430341331761,"BGAPCµL"
1.045,2.174,2.305,2.251,2.37,2.911,0.190204067985298,"TurbFNU"
20.46,20.74,20.79,20.83,20.9,21.43,0.111230784384658,"fDOMRFU"
60.3,61.23,61.36,61.44,61.68,62.43,0.281057225769071,"fDOMQSU"
85.4,90.02,90.86,91.14,91.87,104.5,1.99967521518351,"ODOsat"
7.601,7.982,8.066,8.087,8.15,9.193,0.177395746357434,"ODOmgL"
7.522,7.72,7.772,7.783,7.815,8.484,0.103142558256905,"pH"
4.978,5.426,5.49,5.479,5.562,5.988,0.121940967870074,"Pressps"
257.3,546,600.7,589.5,642.7,825.7,79.1853098767306,"XCO2Dppm_h"
263.4,564.1,635.2,615.7,668.3,813.6,79.9292909206985,"XCO2Dppm_t"
65.68,100.7,109.5,115.3,123.4,212.1,21.9214255406004,"XCH4Dppm_h"
44.9,108.4,122,127.4,136.6,245.1,30.0434102937586,"XCH4Dppm_t"
20.61,21.15,21.2,21.18,21.24,21.33,0.0868013354065967,"TmpC_hy"
20.58,21.15,21.2,21.18,21.24,21.32,0.0894678262956355,"TempC_t"
98.75,101,101.2,101.3,101.5,107,0.722195482062516,"SPCµScm_h"
98.62,100.9,101.1,101.1,101.3,105.3,0.607980772790516,"SPCµScm_t"
0.4491,0.5225,0.5292,0.5269,0.5343,0.57,0.0120383903668333,"ChlARFU_h"
0.4565,0.5226,0.5317,0.5293,0.5369,0.5734,0.0112703869454761,"ChlARFU_t"
1.606,1.928,1.957,1.95,1.977,2.342,0.0511451348581728,"ChlAµgL_h"
1.551,1.91,1.939,1.93,1.961,2.14,0.0501733673486231,"ChlAµgL_t"
0.03249,0.0551,0.05737,0.05682,0.05962,0.1001,0.00427078213169839,"BGAPCRFU_h"
0.02948,0.05479,0.05681,0.05662,0.05934,0.07424,0.00372362697773948,"BGAPCRFU_t"
0.08393,0.1034,0.1062,0.1057,0.1085,0.1528,0.00432096021836503,"BGAPCµgL_h"
0.07851,0.1023,0.1049,0.1043,0.1075,0.13,0.00455114749828633,"BGAPCµgL_t"
1.018,2.264,2.412,2.352,2.491,3.524,0.228397974100026,"TrbFNU_h"
1.014,2.208,2.361,2.307,2.462,3.502,0.238712909288469,"TrbFNU_t"
20.49,20.78,20.83,20.87,20.94,21.62,0.133239193457816,"fDOMRFU_h"
20.48,20.76,20.8,20.85,20.92,21.63,0.132578959341845,"fDOMRFU_t"
60.03,61.31,61.43,61.54,61.73,63.28,0.330764377436493,"fDOMQSU_h"
60.29,61.34,61.49,61.65,61.85,63.99,0.436276063941135,"fDOMQSU_t"
85.53,90.21,91.01,91.3,92.01,104.5,2.03267526957543,"ODOst_h"
85.55,90.57,91.45,91.68,92.34,104.6,2.09007238822269,"ODOst_t"
7.584,8.012,8.095,8.117,8.18,9.289,0.183220081611917,"ODOmgL_h"
7.603,8.015,8.09,8.118,8.187,9.252,0.179829946240938,"ODOmgL_t"
7.532,7.734,7.777,7.797,7.828,8.472,0.106467889577018,"pH_hyd"
7.52,7.712,7.754,7.77,7.801,8.429,0.100519940112872,"pH_tau"
0.1077,0.1663,0.1799,0.1874,0.2021,0.3426,0.0325024324321755,"CH4uM"
3336,5198,5554,5821,6237,11180,1045.78589797762,"CH4Sat"
0.1084,0.1617,0.1761,0.1851,0.2002,0.367,0.0352578908895201,"CH4M_hy"
3571,5275,5669,5991,6365,11970,1121.79265653552,"CH4St_h"
0.07001,0.1678,0.1875,0.1964,0.2104,0.3983,0.0479170229448398,"CH4uM_t"
2715,5707,6381,6704,7141,13640,1577.15509279483,"CH4St_t"
10.75,22.37,24.36,23.92,25.85,33.74,2.92231637555074,"CO2uM"
64.27,142.9,153.8,151.2,163.4,200.8,18.065027953221,"CO2Sat"
10.59,22.59,24.86,24.34,26.31,32.62,3.12531110694659,"CO2M_hy"
69.54,143.4,158.3,154.4,166.5,200.1,18.2686960351139,"CO2St_h"
9.53,22.14,24.68,24.01,26.21,32.83,3.29115632604245,"CO2uM_t"
55.67,138.8,156.6,151.9,165.4,204.1,20.890472941197,"CO2St_t"
