"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.443,4.77,5.351,5.435,5.985,12.43,1.07225164737416,"Depth"
328.6,358.8,366.8,392.6,388.8,960.2,76.8579435102202,"XCO2Dpp"
61.85,84.82,92.77,98.69,104.6,207.7,20.9083171805951,"XCH4Dpp"
17.58,17.75,17.79,17.86,17.92,19.05,0.169516890292971,"TempC"
96.79,103.5,104.3,104.1,105,107.1,1.33440492263903,"SPCµScm"
0.1475,0.1805,0.1919,0.2089,0.2125,0.5349,0.0563662319882753,"ChlARFU"
0.3639,0.5318,0.5765,0.6455,0.6675,1.833,0.216959805793232,"ChlAµgL"
-0.0426,-0.03073,-0.02558,-0.02042,-0.02015,0.06812,0.0184238455643348,"BGAPCRFU"
0.003584,0.01678,0.02172,0.02611,0.02631,0.1116,0.0168866384538084,"BGAPCµL"
0.6466,1.075,1.171,1.314,1.284,3.653,0.460046875538103,"TurbFNU"
6.787,7.068,7.151,7.444,7.325,13.68,0.963248247456559,"fDOMRFU"
20.27,21.09,21.3,22.21,21.88,42.51,2.85942681596472,"fDOMQSU"
97.85,101.4,101.8,101.6,102,103.8,0.72146542766653,"ODOsat"
9.032,9.613,9.675,9.645,9.714,9.852,0.107211685104127,"ODOmgL"
7.827,8.189,8.207,8.19,8.217,8.246,0.0541492034956975,"pH"
2.976,4.969,5.131,5.004,5.247,5.671,0.438202166898527,"Pressps"
334.4,359.8,367.8,394.3,390.3,958.2,78.1435683129461,"XCO2Dppm_h"
340.5,364.5,373.9,403.3,399.9,974.1,86.2378584526567,"XCO2Dppm_t"
61.8,84.18,91.66,96.62,101.1,204.1,18.6912024289848,"XCH4Dppm_h"
67.89,86.09,93.14,100,104.2,230.2,22.5994885179819,"XCH4Dppm_t"
17.58,17.76,17.81,17.88,17.94,19.29,0.187289572634056,"TmpC_hy"
9.814,15.93,16.52,16.44,16.99,19.13,0.780486144266349,"TempC_t"
96.93,103.5,104.2,104.1,105,106.8,1.26671473630072,"SPCµScm_h"
97.46,103.5,104.2,104,104.9,107.1,1.30046262601731,"SPCµScm_t"
0.1313,0.1766,0.1868,0.2026,0.2076,0.4978,0.0496766196931114,"ChlARFU_h"
0.1321,0.1791,0.1903,0.207,0.2119,0.5288,0.0539734616382994,"ChlARFU_t"
0.3224,0.5159,0.5583,0.6194,0.6411,1.811,0.197953856179967,"ChlAµgL_h"
0.3622,0.531,0.5741,0.6405,0.6611,1.846,0.211077145237903,"ChlAµgL_t"
-0.04605,-0.03124,-0.02649,-0.02147,-0.02174,0.06464,0.0175302099893278,"BGAPCRFU_h"
-0.0429,-0.03186,-0.02623,-0.02168,-0.02161,0.0703,0.0180005855742583,"BGAPCRFU_t"
0.005936,0.01755,0.02271,0.0273,0.02729,0.1255,0.0183514310838758,"BGAPCµgL_h"
0.001761,0.01772,0.02322,0.02855,0.0284,0.1156,0.0195843558501721,"BGAPCµgL_t"
0.671,1.034,1.123,1.259,1.224,3.714,0.456719887057813,"TrbFNU_h"
0.6697,1.072,1.148,1.326,1.288,3.869,0.502223643311504,"TrbFNU_t"
6.701,7.037,7.101,7.354,7.242,13.85,0.871118249156236,"fDOMRFU_h"
6.815,7.108,7.189,7.519,7.395,14.39,1.04462519506052,"fDOMRFU_t"
20.27,21.11,21.33,22.28,21.92,42.09,2.97538324886263,"fDOMQSU_h"
20.25,21.02,21.23,22.04,21.7,41.03,2.67022427291637,"fDOMQSU_t"
97.63,101.4,101.7,101.6,102.1,103.8,0.734388923194011,"ODOst_h"
97.83,101.3,101.7,101.5,102,103.1,0.709441316397536,"ODOst_t"
9.047,9.614,9.675,9.644,9.709,9.853,0.102738647703066,"ODOmgL_h"
8.999,9.614,9.664,9.641,9.702,9.807,0.0987487246795012,"ODOmgL_t"
7.825,8.189,8.205,8.189,8.216,8.247,0.05468928375606,"pH_hyd"
4.712,7.446,7.63,7.582,7.778,8.143,0.298766604354434,"pH_tau"
0.112,0.1516,0.1664,0.1749,0.1832,0.3579,0.0360493875975023,"CH4uM"
3281,4521,4936,5138,5312,11110,956.694082272709,"CH4Sat"
0.1094,0.1494,0.1633,0.1711,0.1762,0.3365,0.0328758064781346,"CH4M_hy"
3413,4658,5140,5407,5602,11490,1178.44320956651,"CH4St_h"
0.1205,0.152,0.1636,0.1757,0.1805,0.405,0.041761835176113,"CH4uM_t"
3607,4731,5072,5429,5621,17250,1288.57796140216,"CH4St_t"
15.11,16.24,16.7,17.89,17.76,41.17,3.59762452328959,"CO2uM"
84.33,90.81,93.45,100.3,99.49,236.5,20.6975110053746,"CO2Sat"
15.03,16.31,16.73,17.83,17.74,40.64,3.33421320294377,"CO2M_hy"
85.48,91.57,93.87,100.4,98.98,248,20.440251708269,"CO2St_h"
15.22,16.29,16.67,17.87,17.59,40.36,3.63381878728839,"CO2uM_t"
85.66,92.38,94.36,101.6,100.5,245.6,21.0982127387388,"CO2St_t"
