"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
3.269,6.226,7.856,7.856,8.913,14.33,2.03410470024486,"Depth"
279.3,316.2,318.8,317.5,320,330,5.30048376372242,"XCO2Dpp"
421.3,566,644,684.7,783.1,1054,140.735453844279,"XCH4Dpp"
23.18,23.75,23.8,23.81,23.9,24.25,0.173835127635706,"TempC"
144.2,145,145.1,145.3,145.5,146.6,0.421470347107023,"SPCµScm"
0.1269,0.1597,0.168,0.1737,0.1819,0.2289,0.0201081672279966,"ChlARFU"
0.3271,0.4412,0.4957,0.5118,0.5571,0.753,0.0876848464092415,"ChlAµgL"
-0.07887,-0.07189,-0.06963,-0.06967,-0.06744,-0.05888,0.00322021061027194,"BGAPCRFU"
-0.03684,-0.02665,-0.02373,-0.02433,-0.0218,-0.01408,0.00360279383016569,"BGAPCµL"
0.4253,0.8602,1.181,1.124,1.313,1.95,0.284475936278465,"TurbFNU"
1.59,1.633,1.646,1.666,1.686,1.842,0.0498596684897801,"fDOMRFU"
4.949,5.071,5.114,5.177,5.25,5.711,0.154372671046799,"fDOMQSU"
103.7,104.3,104.5,104.5,104.6,107.9,0.417618100755771,"ODOsat"
8.68,8.813,8.833,8.832,8.857,9.063,0.041158992246627,"ODOmgL"
8.334,8.35,8.353,8.355,8.357,8.423,0.00977518603888557,"pH"
5.097,5.339,5.417,5.418,5.506,5.634,0.112240102095848,"Pressps"
282.7,314.7,317.1,315.7,318.5,326.2,5.50247929393861,"XCO2Dppm_h"
279.2,316.9,320.1,319.3,322.3,341.1,6.24927997783186,"XCO2Dppm_t"
384.6,544.1,610.6,660.9,761.5,1027,145.136703677289,"XCH4Dppm_h"
359.1,514.8,569.2,640.6,733.4,1115,166.833981840542,"XCH4Dppm_t"
23.23,23.79,23.84,23.85,23.95,24.32,0.178432721984605,"TmpC_hy"
23.22,23.76,23.81,23.82,23.89,24.31,0.171637602900835,"TempC_t"
144.3,145,145.1,145.3,145.5,146.5,0.403486299380482,"SPCµScm_h"
144.3,145,145.1,145.3,145.5,146.6,0.42056833591975,"SPCµScm_t"
0.1233,0.1579,0.1685,0.1721,0.1808,0.2301,0.0195132833735331,"ChlARFU_h"
0.1304,0.1568,0.1687,0.1732,0.1822,0.2369,0.0209683410754272,"ChlARFU_t"
0.3575,0.4431,0.4883,0.5076,0.5424,0.7789,0.085471676707098,"ChlAµgL_h"
0.3373,0.4504,0.4956,0.5125,0.5508,0.754,0.0844539986250913,"ChlAµgL_t"
-0.08001,-0.07311,-0.071,-0.07098,-0.06879,-0.05122,0.00320322265627767,"BGAPCRFU_h"
-0.08303,-0.07264,-0.06961,-0.07035,-0.06813,-0.05514,0.00361906041333272,"BGAPCRFU_t"
-0.03457,-0.02573,-0.02301,-0.02333,-0.02139,-0.01173,0.00323389352468042,"BGAPCµgL_h"
-0.03561,-0.02577,-0.02367,-0.02381,-0.02219,-0.01204,0.00334739843846225,"BGAPCµgL_t"
0.4075,0.9044,1.217,1.124,1.297,2.155,0.264201718738977,"TrbFNU_h"
0.3653,0.8183,1.127,1.059,1.205,2.112,0.267358400668795,"TrbFNU_t"
1.595,1.627,1.641,1.663,1.683,1.878,0.0537086745630661,"fDOMRFU_h"
1.591,1.629,1.641,1.665,1.686,1.89,0.0532180476957648,"fDOMRFU_t"
4.977,5.074,5.114,5.174,5.225,5.816,0.149298561559583,"fDOMQSU_h"
4.959,5.084,5.127,5.186,5.25,5.72,0.146710062992786,"fDOMQSU_t"
103.7,104.5,104.7,104.8,104.9,108.6,0.510290943373884,"ODOst_h"
103.7,104.4,104.6,104.7,104.8,108.6,0.493907311231933,"ODOst_t"
8.71,8.816,8.834,8.833,8.856,9.042,0.039727222354533,"ODOmgL_h"
8.625,8.803,8.826,8.822,8.844,9.011,0.0429386629136852,"ODOmgL_t"
8.336,8.349,8.352,8.354,8.356,8.417,0.00927138056296975,"pH_hyd"
8.33,8.351,8.353,8.356,8.357,8.433,0.00992609865474293,"pH_tau"
0.6299,0.8789,0.961,1.034,1.175,1.605,0.199372813812694,"CH4uM"
21670,29130,33300,35140,40160,54640,7302.59952345847,"CH4Sat"
0.5924,0.8268,0.9418,1.008,1.175,1.578,0.227239606967673,"CH4M_hy"
21920,28130,31740,34500,39590,54960,7809.28420361842,"CH4St_h"
0.5486,0.7861,0.8708,0.9754,1.127,1.678,0.255774494849339,"CH4uM_t"
17380,24780,28040,31910,37160,56400,9179.95358749006,"CH4St_t"
10.03,11.76,11.87,11.81,11.94,12.2,0.241615514875909,"CO2uM"
68.49,78.63,79.51,79.09,79.81,82.42,1.43690923301185,"CO2Sat"
9.717,11.72,11.84,11.78,11.91,12.25,0.255675399175475,"CO2M_hy"
69.9,78.92,79.7,79.4,80.05,82.76,1.49802574252861,"CO2St_h"
9.624,11.78,11.92,11.85,11.99,12.29,0.258723588026421,"CO2uM_t"
68.15,78.72,79.34,78.93,79.6,81.82,1.53240251608952,"CO2St_t"
