"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
3.073,4.51,4.947,5.49,6.372,10.64,1.32956107556074,"Depth"
1406,1443,1452,1461,1470,1777,33.8686143926457,"XCO2Dpp"
85.15,88.82,90.1,92.68,97.32,110,5.08193776552532,"XCH4Dpp"
20.98,21.09,21.13,21.12,21.15,21.19,0.0334816259708786,"TempC"
67.26,67.84,67.93,68.04,68.32,68.6,0.274781965231346,"SPCuScm"
1.418,1.537,1.561,1.568,1.59,1.804,0.0477704067092533,"ChlARFU"
5.956,6.534,6.615,6.658,6.783,7.755,0.184817779414001,"ChlAugL"
0.2538,0.3036,0.3091,0.31,0.3161,0.3664,0.0113331255528022,"BGAPCRFU"
0.269,0.3173,0.3242,0.3236,0.3299,0.3563,0.011307908866718,"BGAPCgL"
0.481,0.7294,0.7579,0.7661,0.7792,1.961,0.0806248652781336,"TurbFNU"
52.76,52.93,52.95,52.97,52.98,53.52,0.0795921256783788,"fDOMRFU"
155.9,156.5,156.6,156.6,156.7,157.5,0.141737266488766,"fDOMQSU"
78.05,80.58,81.64,81.6,82.68,84.77,1.21309820009434,"ODOsat"
7.017,7.259,7.352,7.331,7.397,7.73,0.0870475668453039,"ODOmgL"
6.729,6.84,6.858,6.854,6.871,6.927,0.0237643864950644,"pH"
2.157,4.798,6.139,6.293,7.993,11.8,1.64065292070542,"Pressps"
23.18,48.4,52.04,50.67,54.48,77.96,7.06026191942007,"NITRATEU"
0.1118,0.3874,0.432,0.4249,0.4664,0.8528,0.0716179560507756,"NITRATEM"
1.087,1.1,1.105,1.105,1.109,1.123,0.00540487618580072,"ABS254"
0.5009,0.5247,0.527,0.5266,0.5292,0.5422,0.00528013012613553,"ABS350"
24.62,24.79,24.82,24.81,24.84,25.09,0.0444645530322002,"TINT"
24.48,24.73,24.8,24.8,24.86,25.22,0.100973737171125,"TSPEC"
25.99,26.23,26.26,26.25,26.28,26.39,0.0478459469961356,"TLAMP"
1363,1425,1441,1448,1463,1730,35.3334888941335,"XCO2Dppm_h"
1363,1412,1425,1432,1449,1637,31.2884216933902,"XCO2Dppm_t"
83.79,87.91,89.34,91.83,95.44,121.5,5.16238554296182,"XCH4Dppm_h"
75.84,87.72,89.6,91.01,94.06,110.5,4.70946199534489,"XCH4Dppm_t"
21.06,21.12,21.14,21.14,21.16,21.18,0.0228216431212793,"TmpC_hy"
21.03,21.13,21.15,21.14,21.16,21.2,0.0260530525185051,"TempC_t"
66.82,67.82,67.94,68.05,68.38,68.68,0.300092998065736,"SPCScm_h"
67.26,67.83,67.92,68.03,68.33,68.68,0.295558105901562,"SPCScm_t"
1.403,1.541,1.573,1.577,1.604,1.862,0.0546555053195968,"ChlARFU_h"
1.368,1.555,1.57,1.576,1.605,1.695,0.0402441370684027,"ChlARFU_t"
5.742,6.441,6.523,6.558,6.635,7.544,0.225475442442457,"ChlAgL_h"
6.166,6.474,6.558,6.611,6.729,7.445,0.192099459827767,"ChlAgL_t"
0.2509,0.304,0.3097,0.3092,0.3152,0.3528,0.0111415137225267,"BGAPCRFU_h"
0.2676,0.304,0.308,0.3091,0.3141,0.3692,0.00957042986700494,"BGAPCRFU_t"
0.2748,0.3201,0.3265,0.3257,0.3311,0.371,0.0127877050851312,"BGAPCgL_h"
0.297,0.3232,0.329,0.3286,0.3322,0.3659,0.00878952909780995,"BGAPCgL_t"
0.5234,0.6945,0.7329,0.7326,0.7644,1.192,0.0487806239057287,"TrbFNU_h"
0.4077,0.705,0.731,0.7404,0.7783,1.581,0.0574638289408088,"TrbFNU_t"
52.67,52.97,52.99,53.03,53.09,53.6,0.115906838160912,"fDOMRFU_h"
52.65,52.93,52.95,52.97,52.99,53.6,0.102085955034976,"fDOMRFU_t"
155.5,156.5,156.6,156.6,156.7,157.8,0.212394053651929,"fDOMQSU_h"
156.2,156.7,156.7,156.9,157.1,158.3,0.3139490585447,"fDOMQSU_t"
78.94,81.77,83.28,82.86,83.82,85.58,1.14039725207033,"ODOst_h"
76.83,81.6,82.79,82.58,83.5,84.84,1.06483804104239,"ODOst_t"
7.002,7.203,7.293,7.291,7.386,7.553,0.103831306075337,"ODOmgL_h"
6.956,7.253,7.361,7.338,7.417,7.613,0.0954580004066132,"ODOmgL_t"
6.709,6.845,6.865,6.861,6.879,6.917,0.0238693947717153,"pH_hyd"
6.791,6.859,6.872,6.872,6.885,6.928,0.0169018245739269,"pH_tau"
0.1366,0.1411,0.1434,0.1483,0.155,0.1863,0.00958218016756235,"CH4uM"
4473,4633,4721,4851,5062,5852,274.685991333345,"CH4Sat"
0.137,0.1417,0.144,0.1487,0.1559,0.1873,0.0091583706802841,"CH4M_hy"
4452,4656,4729,4875,5148,6241,284.144463833044,"CH4St_h"
0.1127,0.1407,0.1437,0.1439,0.1463,0.1805,0.00524841613437595,"CH4uM_t"
3684,4500,4603,4639,4734,6282,225.899206547819,"CH4St_t"
54.76,57.4,57.76,57.92,58.21,67.98,0.893029851042758,"CO2uM"
348,357.3,360.9,362.9,367.4,437.6,8.40831109077779,"CO2Sat"
56.34,58.04,58.56,59.25,60.32,72.42,1.90640570247017,"CO2M_hy"
347.3,361.3,363.4,369.1,377.7,447.3,12.2989027804917,"CO2St_h"
55.56,57.17,57.85,58.36,59.3,76.53,2.0035973817533,"CO2uM_t"
347.3,358.3,361,365.8,372.3,470.2,12.5993866019114,"CO2St_t"
