"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
443.2,493.4,520.2,516.5,536.5,609.9,29.2407453734442,"XCO2Dpp"
97.7,121.3,123.6,126.5,131.1,171.4,8.63275743748749,"XCH4Dpp"
23.25,23.4,23.47,23.49,23.56,23.85,0.107537288886026,"TempC"
92.12,92.91,93.36,93.3,93.62,95.18,0.539937395801923,"SPCµScm"
0.342,0.3835,0.4055,0.4095,0.4357,0.5289,0.0321566717984872,"ChlARFU"
1.184,1.355,1.445,1.463,1.571,1.951,0.130059823198062,"ChlAµgL"
-0.01131,0.009355,0.01377,0.01357,0.01833,0.03101,0.00606310050502954,"BGAPCRFU"
0.04106,0.05646,0.06129,0.06118,0.0666,0.08213,0.00671002645682321,"BGAPCµL"
0.3926,1.144,1.31,1.25,1.387,2.089,0.182308178349834,"TurbFNU"
8.533,8.889,9.086,9.101,9.253,10.15,0.279570967640501,"fDOMRFU"
25.38,26.37,26.91,26.95,27.35,30.14,0.79806873750892,"fDOMQSU"
95.21,96.64,97.15,97.07,97.59,98.31,0.561178910588402,"ODOsat"
8.127,8.23,8.263,8.252,8.278,8.397,0.0317354338509648,"ODOmgL"
7.783,7.836,7.848,7.851,7.867,7.917,0.0228256480641281,"pH"
3.341,3.66,3.749,3.718,3.789,3.971,0.0984133267281985,"Pressps"
442.6,492.6,516.4,513,530.3,610.5,28.4402165245612,"XCO2Dppm_h"
443.7,494.8,518.6,516.5,537,612.1,29.7026306750343,"XCO2Dppm_t"
97.09,120,123.3,126.1,131.2,172.3,9.27186719848374,"XCH4Dppm_h"
94.85,119,122.8,125.2,130.1,160.9,9.44821260598526,"XCH4Dppm_t"
23.25,23.41,23.47,23.49,23.56,23.86,0.105571066590746,"TmpC_hy"
23.25,23.4,23.47,23.49,23.55,23.86,0.105634324022247,"TempC_t"
92.08,92.91,93.36,93.29,93.6,95.16,0.533718384692233,"SPCµScm_h"
92.14,92.92,93.37,93.31,93.63,95.17,0.546128910595118,"SPCµScm_t"
0.3447,0.3812,0.4026,0.4067,0.4317,0.5287,0.0301285832397549,"ChlARFU_h"
0.3446,0.382,0.4049,0.4089,0.4359,0.5349,0.0324258722511961,"ChlARFU_t"
1.224,1.374,1.455,1.471,1.573,1.959,0.126710872895432,"ChlAµgL_h"
1.191,1.365,1.442,1.465,1.572,1.961,0.12996515409128,"ChlAµgL_t"
-0.01069,0.009702,0.01406,0.01386,0.01882,0.03083,0.00645135911949425,"BGAPCRFU_h"
-0.0101,0.009199,0.01373,0.01392,0.01962,0.03292,0.00656599632917754,"BGAPCRFU_t"
0.03791,0.05756,0.06145,0.06166,0.0666,0.07856,0.00618825682349889,"BGAPCµgL_h"
0.03931,0.05761,0.06187,0.06165,0.06631,0.07778,0.00611140389913731,"BGAPCµgL_t"
0.3923,1.126,1.301,1.247,1.393,2.076,0.187515165467878,"TrbFNU_h"
0.3898,1.15,1.316,1.257,1.397,1.673,0.183987182682997,"TrbFNU_t"
8.545,8.871,9.059,9.064,9.206,10.13,0.263911137165877,"fDOMRFU_h"
8.528,8.892,9.079,9.081,9.215,10.15,0.259975200890048,"fDOMRFU_t"
25.36,26.32,26.86,26.89,27.31,30.08,0.775313281971518,"fDOMQSU_h"
25.37,26.33,26.89,26.9,27.31,30.09,0.78233713944875,"fDOMQSU_t"
95.1,96.66,97.14,97.06,97.56,98.65,0.541823236109866,"ODOst_h"
95.11,96.72,97.2,97.11,97.58,98.08,0.533881114951769,"ODOst_t"
8.125,8.229,8.262,8.252,8.278,8.339,0.0326186115356097,"ODOmgL_h"
8.122,8.228,8.257,8.248,8.272,8.338,0.0295589053732822,"ODOmgL_t"
7.782,7.836,7.849,7.851,7.867,7.907,0.0225099469699123,"pH_hyd"
7.782,7.834,7.847,7.849,7.865,7.906,0.0226893079902913,"pH_tau"
0.1496,0.1844,0.1887,0.193,0.2012,0.2597,0.0134530189393695,"CH4uM"
5077,6246,6409,6547,6812,8836,469.977872864859,"CH4Sat"
0.1475,0.1834,0.1872,0.1914,0.1983,0.2603,0.0131288334534977,"CH4M_hy"
5040,6241,6373,6543,6816,9088,481.868633618622,"CH4St_h"
0.1432,0.1783,0.1851,0.1878,0.1956,0.2455,0.014623037730313,"CH4uM_t"
4929,6141,6353,6473,6754,8348,492.974724477018,"CH4St_t"
16.66,18.55,19.53,19.4,20.16,23.17,1.14699266786457,"CO2uM"
108.8,123.8,129.8,129.1,133.7,152.7,7.19888387471954,"CO2Sat"
16.51,18.51,19.47,19.34,20.1,23.06,1.12873984109224,"CO2M_hy"
110.3,123.6,130,129.3,134.4,153.5,7.66273619899023,"CO2St_h"
16.54,18.47,19.42,19.35,20.19,23.16,1.17625749688706,"CO2uM_t"
111.2,123.6,129.5,129,134.1,153.1,7.45418680551621,"CO2St_t"
