"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.257,3.402,3.755,3.799,4.181,7.124,0.634579777190787,"Depth"
490.5,565.2,579.5,579.4,591.5,679.6,21.2207846528585,"XCO2Dpp"
210.3,256.7,258.9,259.9,261.7,346.7,8.63428216702751,"XCH4Dpp"
19.17,19.5,19.66,19.72,19.85,22.01,0.289366926905641,"TempC"
113.9,115.2,115.2,115.2,115.3,115.4,0.124246068521291,"SPCµScm"
0.4736,0.5403,0.5581,0.5815,0.5992,1.402,0.0772466919963807,"ChlARFU"
1.776,2.122,2.259,2.408,2.483,7.747,0.525712173086661,"ChlAµgL"
0.006836,0.02435,0.02999,0.0348,0.03799,0.2585,0.0190993690932988,"BGAPCRFU"
0.05089,0.06617,0.06988,0.07236,0.07603,0.2653,0.0114779803942753,"BGAPCµL"
1.192,2.451,2.559,2.518,2.604,3.718,0.19123836542818,"TurbFNU"
12.04,12.32,12.36,12.35,12.38,12.5,0.0483848565833377,"fDOMRFU"
35.5,36.49,36.58,36.57,36.64,37.07,0.130962279241388,"fDOMQSU"
98.89,102.7,103.6,103.7,104.4,112.8,1.37078595978001,"ODOsat"
9.162,9.45,9.512,9.5,9.542,10.13,0.0827084401147164,"ODOmgL"
7.966,8.042,8.06,8.062,8.078,8.244,0.027338296468204,"pH"
4.274,5.82,5.896,5.859,5.953,6.401,0.195157714643126,"Pressps"
493,574.2,585.2,586.4,596.6,728.9,20.1526873342681,"XCO2Dppm_h"
468.7,562.6,580,580.1,593.9,760.8,24.957000621347,"XCO2Dppm_t"
205.4,260.9,263.1,264.4,265.7,367.8,8.75687525711446,"XCH4Dppm_h"
256.2,287,295.1,305,310.7,609.7,30.5524006203437,"XCH4Dppm_t"
19.16,19.52,19.68,19.74,19.88,22.13,0.32438995674736,"TmpC_hy"
19.16,19.48,19.61,19.68,19.8,21.98,0.286687777494582,"TempC_t"
113.8,115.2,115.2,115.2,115.3,115.6,0.124597790891164,"SPCµScm_h"
113.7,115.2,115.2,115.2,115.3,115.5,0.13083517697235,"SPCµScm_t"
0.4751,0.5381,0.5583,0.578,0.5905,1.351,0.0765646533649265,"ChlARFU_h"
0.4613,0.5231,0.5384,0.5504,0.564,1.151,0.0481567142546384,"ChlARFU_t"
1.65,1.977,2.058,2.141,2.238,4.873,0.288657445388332,"ChlAµgL_h"
1.645,2.035,2.113,2.21,2.282,5.865,0.329991692310659,"ChlAµgL_t"
-0.002629,0.02032,0.02387,0.02764,0.03103,0.2288,0.0142417749790084,"BGAPCRFU_h"
0.006455,0.02855,0.0372,0.04358,0.04763,0.2749,0.0264642512640017,"BGAPCRFU_t"
0.0493,0.06609,0.07265,0.07564,0.07938,0.2434,0.0162112815765996,"BGAPCµgL_h"
0.02462,0.06217,0.06561,0.06759,0.07167,0.2169,0.00964880867661832,"BGAPCµgL_t"
1.808,2.511,2.614,2.584,2.668,3.718,0.187515991045322,"TrbFNU_h"
1.777,2.494,2.593,2.566,2.667,3.73,0.172215279089412,"TrbFNU_t"
12.06,12.29,12.32,12.32,12.35,12.6,0.0519548381401302,"fDOMRFU_h"
12.06,12.32,12.35,12.34,12.37,12.56,0.0503687524975737,"fDOMRFU_t"
35.89,36.46,36.55,36.55,36.62,37.2,0.134010667972267,"fDOMQSU_h"
35.92,36.44,36.52,36.52,36.6,37.03,0.127717875058919,"fDOMQSU_t"
97.73,102.8,103.9,103.9,104.8,113.9,1.64070472179245,"ODOst_h"
100.4,103,103.8,103.9,104.6,116.8,1.40574747245083,"ODOst_t"
9.048,9.412,9.464,9.458,9.499,10.2,0.078605411182896,"ODOmgL_h"
9.21,9.463,9.506,9.507,9.543,10.39,0.0802247660465408,"ODOmgL_t"
7.957,8.045,8.062,8.064,8.082,8.297,0.0296159932923287,"pH_hyd"
7.958,8.043,8.059,8.061,8.076,8.224,0.0258755790813608,"pH_tau"
0.2784,0.424,0.428,0.4311,0.4339,0.5741,0.0165649932881806,"CH4uM"
10730,13500,13610,13680,13740,17640,460.92164372653,"CH4Sat"
0.3147,0.422,0.4253,0.4268,0.4295,0.5674,0.0126527175318095,"CH4M_hy"
8992,13470,13580,13620,13730,18220,387.263716872421,"CH4St_h"
0.4122,0.4666,0.4774,0.4937,0.5057,0.9475,0.0472638723240193,"CH4uM_t"
12650,14480,14860,15250,15700,30890,1312.34594441689,"CH4St_t"
17.56,23.54,24.31,24.27,24.97,28.97,1.12436997153362,"CO2uM"
119.8,140.5,144.2,144.4,148,171.6,6.13293227989723,"CO2Sat"
20.04,23.28,24.11,24.09,24.82,29.03,1.12104840050624,"CO2M_hy"
113.4,142.4,145.7,145.9,149,181.3,5.61710910049993,"CO2St_h"
18.62,23.36,24.16,24.16,24.96,29.67,1.2741890630638,"CO2uM_t"
116.2,144.3,147.2,147.3,149.9,196.8,4.99206874144091,"CO2St_t"
