"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
6.898,11.87,12.75,12.73,13.7,17.03,1.17166341444593,"Depth"
359.1,376.4,380,379.6,383.6,394,4.89301144768005,"XCO2Dpp"
49.85,55.02,55.58,55.48,55.95,58.32,0.788554648502437,"XCH4Dpp"
16.16,16.27,16.31,16.31,16.34,16.48,0.0459005662597128,"TempC"
93.92,96.56,96.96,97.01,97.43,99.83,0.647340865750329,"SPCµScm"
0.2333,0.289,0.2984,0.3011,0.3156,0.3445,0.0151779292059872,"ChlARFU"
0.7998,0.9847,1.024,1.037,1.091,1.261,0.0665301061898928,"ChlAµgL"
0.1939,0.3178,0.348,0.3407,0.362,0.4922,0.0303280465737816,"BGAPCRFU"
0.1765,0.3677,0.3917,0.3876,0.4072,0.5813,0.0301156728361459,"BGAPCµL"
3.107,6.86,7.361,7.389,8,12.55,0.817369486593838,"TurbFNU"
0.5367,0.5815,0.5946,0.5958,0.6078,0.6809,0.0179005398752898,"fDOMRFU"
1.687,1.964,2.003,2.005,2.041,2.31,0.0531554887646692,"fDOMQSU"
105.8,106.2,106.3,106.3,106.4,107.3,0.156510307255567,"ODOsat"
10.38,10.41,10.42,10.42,10.42,10.49,0.00928641615413529,"ODOmgL"
7.901,7.909,7.913,7.915,7.919,7.949,0.006799969853986,"pH"
-1.52,-1.473,-1.47,-1.47,-1.467,-1.444,0.00658171187097914,"Pressps"
356.9,377,380.8,380.3,384.7,401.8,5.46801607414053,"XCO2Dppm_h"
349,376,380.7,379.7,384.5,394.9,5.85476393412372,"XCO2Dppm_t"
45.47,54.82,55.36,55.24,55.74,58.27,0.962992510737125,"XCH4Dppm_h"
50.29,55.6,55.92,56,56.35,62.24,0.660449484465802,"XCH4Dppm_t"
16.11,16.29,16.32,16.32,16.36,16.51,0.0460786740950253,"TmpC_hy"
16.12,16.29,16.32,16.32,16.35,16.56,0.0430998176135874,"TempC_t"
94.17,96.33,96.73,96.83,97.25,99.94,0.659860498358087,"SPCµScm_h"
93.31,96.33,96.82,96.84,97.3,99.26,0.631735179588218,"SPCµScm_t"
0.2289,0.2906,0.2992,0.3019,0.3146,0.3722,0.0150293535631263,"ChlARFU_h"
0.2502,0.2891,0.2996,0.3026,0.317,0.3833,0.0170790011198965,"ChlARFU_t"
0.8013,0.9782,1.013,1.027,1.079,1.323,0.0614199905051036,"ChlAµgL_h"
0.7584,0.9852,1.024,1.034,1.087,1.332,0.0629583405597068,"ChlAµgL_t"
0.1159,0.3225,0.3514,0.347,0.3687,0.5719,0.0318925835636637,"BGAPCRFU_h"
0.1432,0.3298,0.3503,0.347,0.3665,0.4658,0.0294091209134568,"BGAPCRFU_t"
0.2062,0.3663,0.3903,0.3876,0.4066,0.4994,0.0306163736499457,"BGAPCµgL_h"
0.1773,0.3542,0.3762,0.3741,0.3947,0.5057,0.0285375253858108,"BGAPCµgL_t"
3.853,6.488,7.131,7.139,7.855,11.12,0.833285390662942,"TrbFNU_h"
3.617,6.894,7.605,7.509,8.205,12.45,0.959739370127119,"TrbFNU_t"
0.4924,0.5646,0.5779,0.5785,0.5899,0.6659,0.017845732346441,"fDOMRFU_h"
0.5037,0.5738,0.5866,0.5873,0.5989,0.7051,0.0169953204980102,"fDOMRFU_t"
1.776,1.962,2.002,2.005,2.04,2.218,0.0512883743339432,"fDOMQSU_h"
1.807,1.971,2.012,2.012,2.05,2.255,0.0506020135019821,"fDOMQSU_t"
105.7,106.2,106.3,106.3,106.4,107.1,0.141223105018977,"ODOst_h"
105.7,106.1,106.2,106.3,106.3,107.1,0.156613140932361,"ODOst_t"
10.37,10.41,10.42,10.41,10.42,10.52,0.00997164767305364,"ODOmgL_h"
10.37,10.41,10.41,10.42,10.42,10.51,0.0128903533602324,"ODOmgL_t"
7.897,7.909,7.914,7.914,7.918,7.942,0.00584871690197685,"pH_hyd"
7.9,7.91,7.914,7.915,7.918,7.945,0.00610561570071363,"pH_tau"
0.08575,0.09668,0.09772,0.09747,0.09838,0.1021,0.00141510570270335,"CH4uM"
2491,2855,2891,2882,2915,3038,51.5729532902562,"CH4Sat"
0.07828,0.09675,0.09751,0.09736,0.09817,0.1014,0.00138143072076769,"CH4M_hy"
2546,2886,2907,2905,2929,3027,41.1441398756179,"CH4St_h"
0.09386,0.09751,0.09808,0.09818,0.09867,0.1052,0.0010825720740655,"CH4uM_t"
2625,2919,2933,2940,2955,3147,32.3405444212387,"CH4St_t"
16.38,17.44,17.7,17.64,17.86,18.31,0.270715599973225,"CO2uM"
88.93,94.09,95.07,94.96,95.98,98.61,1.21582225324613,"CO2Sat"
16.53,17.45,17.69,17.63,17.85,18.23,0.261154403631604,"CO2M_hy"
90.63,94.14,95.15,95.09,96.13,98.43,1.31944049541931,"CO2St_h"
16.56,17.51,17.72,17.68,17.9,18.53,0.247680314048079,"CO2uM_t"
88.13,94.15,95.28,95.04,96.28,103.2,1.44210985348051,"CO2St_t"
