"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
3.335,5.761,6.182,6.092,6.473,9.802,0.823425485108557,"Depth"
414.3,495.4,505.9,501.3,509.1,520,11.658744744586,"XCO2Dpp"
159.5,165.4,166,166.1,166.7,176.6,1.74784117312953,"XCH4Dpp"
23.7,23.86,23.89,23.89,23.91,24.11,0.0473451834223665,"TempC"
90.37,91.02,91.2,91.44,91.84,93.21,0.552992227918624,"SPCµScm"
0.3921,0.4423,0.4958,0.4822,0.5148,0.5902,0.0401329897889548,"ChlARFU"
1.376,1.671,1.804,1.8,1.952,2.14,0.166408093182516,"ChlAµgL"
-0.01549,0.003924,0.01301,0.01137,0.01779,0.04448,0.0100551379813796,"BGAPCRFU"
0.03327,0.05217,0.06264,0.06012,0.06693,0.09401,0.0100240462517922,"BGAPCµL"
0.5761,1.217,1.553,1.428,1.65,2.167,0.307528398933105,"TurbFNU"
8.597,9.34,9.941,9.795,10.2,11.39,0.564811324498038,"fDOMRFU"
25.61,27.92,29.75,29.34,30.58,33.21,1.69232004889834,"fDOMQSU"
98.62,100,100.2,100.1,100.4,101.2,0.302023069999565,"ODOsat"
8.339,8.45,8.463,8.457,8.474,8.554,0.0271373146795567,"ODOmgL"
7.833,7.858,7.861,7.863,7.866,7.963,0.0105800205349079,"pH"
3.076,3.719,3.943,3.848,3.996,4.325,0.212478486009449,"Pressps"
383.8,487.7,493.1,490.8,497.2,514.8,13.0351380355957,"XCO2Dppm_h"
456.4,509.6,511,510.6,512.7,528,5.34901105553751,"XCO2Dppm_t"
153.9,163.9,165.1,165.4,166.3,178.8,2.58612917054428,"XCH4Dppm_h"
133.6,149.2,152.8,153,156.8,174.6,6.00564134456759,"XCH4Dppm_t"
23.7,23.82,23.84,23.84,23.87,24.04,0.0482349680916666,"TmpC_hy"
23.68,23.81,23.84,23.84,23.86,24.05,0.0471136114866385,"TempC_t"
90.42,91.09,91.28,91.51,91.94,93.11,0.561701888205611,"SPCµScm_h"
90.2,90.81,90.95,91.24,91.73,92.89,0.579197511174902,"SPCµScm_t"
0.3875,0.4542,0.499,0.4885,0.5203,0.5893,0.0404389345753493,"ChlARFU_h"
0.4004,0.4711,0.5007,0.4994,0.5341,0.5865,0.0401718374904791,"ChlARFU_t"
1.367,1.613,1.803,1.77,1.928,2.22,0.184255122210007,"ChlAµgL_h"
1.397,1.664,1.799,1.783,1.905,2.257,0.16076414393645,"ChlAµgL_t"
-0.01306,0.00396,0.0146,0.01266,0.01963,0.04775,0.0101457611855611,"BGAPCRFU_h"
-0.01563,0.001931,0.01299,0.01131,0.01749,0.05684,0.0112234758183004,"BGAPCRFU_t"
0.03445,0.04988,0.06265,0.06052,0.06854,0.09756,0.0115010799330395,"BGAPCµgL_h"
0.03756,0.05241,0.06151,0.06063,0.06607,0.1042,0.0107240323992245,"BGAPCµgL_t"
0.57,1.362,1.536,1.445,1.602,2.131,0.246758641327291,"TrbFNU_h"
0.6359,1.35,1.654,1.513,1.7,2.107,0.293821488946717,"TrbFNU_t"
8.595,9.342,9.987,9.862,10.33,11.41,0.60595415466182,"fDOMRFU_h"
8.535,9.329,9.778,9.694,10.04,11.53,0.540892550949245,"fDOMRFU_t"
25.77,27.97,29.81,29.38,30.67,33.7,1.65289969545237,"fDOMQSU_h"
25.51,28.06,29.93,29.54,30.94,34.6,1.83494329904815,"fDOMQSU_t"
98.58,100.1,100.3,100.2,100.5,101.6,0.385779800156317,"ODOst_h"
98.51,100,100.3,100.2,100.5,101.7,0.420182769837153,"ODOst_t"
8.335,8.465,8.481,8.476,8.495,8.555,0.0296805455818588,"ODOmgL_h"
8.308,8.427,8.458,8.447,8.472,8.571,0.0415344737804707,"ODOmgL_t"
7.834,7.85,7.852,7.852,7.853,7.907,0.00524871237401017,"pH_hyd"
7.825,7.844,7.848,7.848,7.852,7.873,0.00537242196802521,"pH_tau"
0.2339,0.2516,0.2527,0.2531,0.2543,0.2687,0.0032425572776303,"CH4uM"
8160,8683,8744,8725,8786,9211,120.006930329993,"CH4Sat"
0.2428,0.2521,0.2534,0.2545,0.2555,0.2708,0.00419121403910928,"CH4M_hy"
8261,8631,8679,8685,8731,9310,109.591020161605,"CH4St_h"
0.2054,0.2315,0.2357,0.2364,0.2401,0.2748,0.00853232773950241,"CH4uM_t"
6853,8028,8346,8310,8597,9484,427.791106236394,"CH4St_t"
16.86,18.71,18.86,18.87,19.08,19.44,0.257486324955455,"CO2uM"
101.1,123.5,126.6,125.2,127.2,131.7,3.30683799745799,"CO2Sat"
16.07,18.55,18.69,18.66,18.85,19.58,0.323997394036256,"CO2M_hy"
109.1,123.7,124.7,124.5,126,129.3,1.98650405402471,"CO2St_h"
17.7,18.78,18.92,18.89,19.02,19.51,0.210927394270955,"CO2uM_t"
119.9,126.8,127.6,127.8,128.7,132.7,1.3258008483126,"CO2St_t"
