"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
4.395,7.76,8.532,8.262,8.85,12.54,0.939864367893054,"Depth"
300.3,309.8,311.3,312.4,315,336.4,4.12352695109803,"XCO2Dpp"
29.48,34.91,36.51,39.11,42.39,85.03,6.16505987681413,"XCH4Dpp"
22.08,22.2,22.22,22.22,22.24,22.32,0.0269547674822852,"TempC"
42.63,42.69,42.69,42.69,42.69,42.72,0.00853912530002734,"SPCµScm"
0.042,0.06541,0.06808,0.06748,0.07012,0.0823,0.00452237255614473,"ChlARFU"
-0.02812,0.07085,0.0833,0.07958,0.09004,0.1438,0.0185647681223312,"ChlAµgL"
-0.09138,-0.08049,-0.07948,-0.07953,-0.07854,-0.069,0.0016208197991207,"BGAPCRFU"
-0.04178,-0.03365,-0.0325,-0.03263,-0.03147,-0.023,0.0018073769280594,"BGAPCµL"
0.1269,1.017,1.148,1.132,1.306,1.836,0.23924115000521,"TurbFNU"
-0.1387,-0.1217,-0.12,-0.1192,-0.1167,-0.09498,0.00491109030153428,"fDOMRFU"
-0.1038,-0.04356,-0.0388,-0.03744,-0.03042,0.04137,0.0137393319285235,"fDOMQSU"
97.71,99.19,99.31,99.31,99.51,100.6,0.316794862778962,"ODOsat"
8.501,8.628,8.643,8.642,8.662,8.745,0.0268146472925211,"ODOmgL"
7.553,7.587,7.595,7.593,7.598,7.617,0.00753564715648154,"pH"
4.978,5.691,5.756,5.74,5.841,6.282,0.153608041013899,"Pressps"
297.3,309.6,311.9,312.4,315.2,338.8,4.51949949860061,"XCO2Dppm_h"
297.6,309.6,312.2,312.6,315.6,337.8,4.6873006531677,"XCO2Dppm_t"
29.03,35.13,36.68,39.53,41.8,86.12,7.18481231055134,"XCH4Dppm_h"
23.24,34.95,36.16,39.95,41.24,95.53,9.26599110056181,"XCH4Dppm_t"
22.11,22.19,22.21,22.21,22.23,22.34,0.0280022126263743,"TmpC_hy"
22.12,22.21,22.22,22.22,22.24,22.32,0.0272057878607717,"TempC_t"
42.64,42.69,42.69,42.69,42.69,42.73,0.00752182790053691,"SPCµScm_h"
42.62,42.69,42.69,42.69,42.7,42.74,0.00787986037785126,"SPCµScm_t"
0.04057,0.06554,0.06834,0.06756,0.07023,0.08558,0.00439840334056847,"ChlARFU_h"
0.03915,0.06506,0.06832,0.06748,0.07004,0.08256,0.00470813316019258,"ChlARFU_t"
-0.02564,0.07235,0.08315,0.08082,0.09113,0.1407,0.0171983351435392,"ChlAµgL_h"
-0.02904,0.07929,0.08888,0.08674,0.09717,0.1492,0.01699920378349,"ChlAµgL_t"
-0.08962,-0.0814,-0.08025,-0.08044,-0.07947,-0.05678,0.00171757016317585,"BGAPCRFU_h"
-0.09325,-0.0816,-0.08076,-0.08091,-0.08005,-0.06624,0.00168203055965696,"BGAPCRFU_t"
-0.04656,-0.03436,-0.03342,-0.03351,-0.0325,-0.0229,0.00174354648003385,"BGAPCµgL_h"
-0.04546,-0.03432,-0.03354,-0.03363,-0.03264,-0.02607,0.00172595755984065,"BGAPCµgL_t"
0.06876,1.016,1.17,1.142,1.323,1.979,0.249538310072079,"TrbFNU_h"
0.02637,1.028,1.131,1.107,1.263,1.931,0.233827516185887,"TrbFNU_t"
-0.1449,-0.1201,-0.1187,-0.1182,-0.1165,-0.09895,0.00487153209301684,"fDOMRFU_h"
-0.1489,-0.1223,-0.1205,-0.1197,-0.1176,-0.08466,0.00536635837431285,"fDOMRFU_t"
-0.1187,-0.04975,-0.04229,-0.04378,-0.03548,0.003884,0.0135281111187324,"fDOMQSU_h"
-0.1343,-0.05658,-0.04869,-0.04957,-0.04221,0.04757,0.01457090965302,"fDOMQSU_t"
97.61,99.12,99.23,99.23,99.43,100.6,0.282624739065338,"ODOst_h"
97.64,99.19,99.29,99.3,99.5,100,0.273221495638829,"ODOst_t"
8.501,8.644,8.656,8.655,8.675,8.716,0.0265610487884358,"ODOmgL_h"
8.486,8.634,8.648,8.647,8.666,8.76,0.0284279785406547,"ODOmgL_t"
7.547,7.585,7.593,7.591,7.597,7.621,0.00826120688624503,"pH_hyd"
7.547,7.589,7.595,7.594,7.599,7.624,0.00832681820320164,"pH_tau"
0.04743,0.05653,0.05872,0.06343,0.0687,0.1367,0.0105761349066007,"CH4uM"
1554,1809,1897,2026,2171,4600,328.065539655572,"CH4Sat"
0.04611,0.05571,0.05832,0.06331,0.06761,0.1331,0.0117977044544435,"CH4M_hy"
1551,1916,2015,2184,2360,4496,402.427862254549,"CH4St_h"
0.03893,0.05654,0.05878,0.06408,0.06539,0.1439,0.0137181800606282,"CH4uM_t"
1345,1927,2014,2235,2343,5690,524.963933242374,"CH4St_t"
11.68,12.1,12.19,12.22,12.34,13.24,0.174832919045289,"CO2uM"
74.89,77.55,77.96,78.17,78.88,83.91,1.02353519431139,"CO2Sat"
11.64,12.12,12.21,12.23,12.33,13.11,0.162238585166117,"CO2M_hy"
74.73,77.54,78.15,78.32,79.09,84.72,1.12915951215753,"CO2St_h"
11.57,12.07,12.18,12.19,12.3,13.32,0.187132021150214,"CO2uM_t"
74.09,77.49,78.17,78.25,78.91,84.63,1.25272895304933,"CO2St_t"
