"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.344,1.401,1.452,1.469,1.518,1.825,0.0940935050734384,"Depth"
2931,3662,3800,3849,4067,4736,334.15587890649,"XCO2Dpp"
899.9,1270,1389,1366,1472,1652,160.199941685976,"XCH4Dpp"
20.86,20.96,20.97,20.97,20.98,21.02,0.0291785260629491,"TempC"
93.13,94.71,94.96,94.85,95.17,95.45,0.44547145715657,"SPCuScm"
0.8744,0.902,0.9148,0.9193,0.9314,0.9902,0.0275085272567381,"ChlARFU"
3.656,3.779,3.831,3.852,3.895,4.255,0.118142677800407,"ChlAugL"
0.1603,0.165,0.1699,0.1723,0.1766,0.2057,0.00960035107798445,"BGAPCRFU"
0.1746,0.1834,0.1904,0.1926,0.1966,0.2402,0.0126539790329305,"BGAPCgL"
1.211,1.245,1.271,1.283,1.301,1.42,0.0528074998682575,"TurbFNU"
41.83,46.13,46.82,46.78,47.64,49.02,1.3242067395917,"fDOMRFU"
117.3,130.9,133.3,133.1,137.2,142.9,5.56424740803723,"fDOMQSU"
63.1,67.82,70.74,70.32,72.32,77.41,3.27108180072613,"ODOsat"
5.478,5.924,6.111,6.098,6.28,6.798,0.286408321829075,"ODOmgL"
6.565,6.672,6.713,6.709,6.745,6.847,0.0600441392863474,"pH"
7.966,9.122,9.527,9.412,9.844,10.17,0.560662008751627,"Pressps"
33.27,35.03,37.35,38.03,39.91,51.1,3.96939990650456,"NITRATEU"
0.3428,0.3513,0.3629,0.373,0.3823,0.5209,0.0334087918138817,"NITRATEM"
1.026,1.028,1.029,1.029,1.03,1.034,0.00187971692007909,"ABS254"
0.4698,0.4704,0.471,0.4711,0.4716,0.4732,0.000819018859368834,"ABS350"
25.46,25.58,25.61,25.6,25.63,25.65,0.0419382390752847,"TINT"
27.9,28.11,28.13,28.12,28.16,28.19,0.0562852832740672,"TSPEC"
26,26.08,26.1,26.1,26.12,26.13,0.0307842119815841,"TLAMP"
2281,3231,3492,3520,3758,4562,473.031469584409,"XCO2Dppm_h"
2406,3215,3486,3512,3764,4431,443.423201237421,"XCO2Dppm_t"
1019,1385,1452,1436,1523,1666,136.829599944572,"XCH4Dppm_h"
1251,1623,1712,1736,1879,2172,197.392121125411,"XCH4Dppm_t"
20.86,20.94,20.96,20.95,20.97,21,0.0286101059509742,"TmpC_hy"
20.85,20.95,20.97,20.96,20.98,21.03,0.0339939117026422,"TempC_t"
94.16,95.18,95.33,95.28,95.41,95.63,0.249659874176288,"SPCScm_h"
93.68,95.16,95.29,95.23,95.38,95.58,0.306354367228041,"SPCScm_t"
0.8805,0.9068,0.9217,0.9251,0.9353,0.9912,0.0247706824536652,"ChlARFU_h"
0.8733,0.8978,0.9086,0.9113,0.9181,0.9867,0.022807611118158,"ChlARFU_t"
3.618,3.686,3.744,3.759,3.796,4.103,0.100795477772263,"ChlAgL_h"
3.639,3.754,3.802,3.817,3.844,4.199,0.109824397651874,"ChlAgL_t"
0.1644,0.1792,0.1947,0.1963,0.2062,0.2593,0.0222787277607736,"BGAPCRFU_h"
0.158,0.1656,0.1725,0.1747,0.1786,0.2114,0.0125341853711765,"BGAPCRFU_t"
0.1779,0.1862,0.1933,0.1948,0.2002,0.242,0.0118558438602626,"BGAPCgL_h"
0.1762,0.1831,0.1915,0.1926,0.1969,0.2354,0.0132534577443114,"BGAPCgL_t"
1.27,1.299,1.317,1.325,1.344,1.413,0.0350724719727546,"TrbFNU_h"
1.16,1.243,1.266,1.271,1.295,1.363,0.0444933700028108,"TrbFNU_t"
40.12,44.86,45.59,45.47,46.56,48.21,1.571740007104,"fDOMRFU_h"
41.54,45.64,46.29,46.19,47.23,48.59,1.38109451838093,"fDOMRFU_t"
121.9,132.7,136.3,136.1,140.3,144.2,5.03266304054547,"fDOMQSU_h"
128.6,138.4,139.8,139.7,141.3,144.7,3.12615590199886,"fDOMQSU_t"
59.67,64,65.33,65.36,67,72.02,2.51926162673707,"ODOst_h"
61.93,65.39,66.68,66.57,68.24,71.13,2.18338390350882,"ODOst_t"
5.534,5.953,6.147,6.116,6.278,6.842,0.264131301682465,"ODOmgL_h"
5.5,5.926,6.054,6.046,6.203,6.704,0.249628512417819,"ODOmgL_t"
6.565,6.64,6.664,6.663,6.695,6.743,0.0397233682173604,"pH_hyd"
6.587,6.662,6.684,6.688,6.725,6.792,0.048402575131102,"pH_tau"
0.91,1.526,1.745,1.724,1.915,2.308,0.31897025845497,"CH4uM"
39600,57020,63500,62110,68360,80280,9549.91047978119,"CH4Sat"
1.928,2.289,2.407,2.379,2.512,2.741,0.200793293128761,"CH4M_hy"
40760,61790,68460,66940,72680,83400,9541.68198465897,"CH4St_h"
1.433,2.702,2.839,2.874,3.149,3.693,0.392674362321109,"CH4uM_t"
51140,81090,86570,87570,96640,117300,12819.4372162496,"CH4St_t"
92.59,139.4,145.5,147.3,158.6,189.6,18.3075781275247,"CO2uM"
720,874.7,933.9,945.3,1014,1185,103.08204631118,"CO2Sat"
100.4,133.9,144.6,147.2,158.2,191.4,18.9372889755433,"CO2M_hy"
701.4,904.9,947.4,960.7,1007,1205,96.3379123031897,"CO2St_h"
111.8,143.2,153.3,154.8,165.9,194.1,18.5137136296915,"CO2uM_t"
779.6,942.8,979.6,980.4,1016,1126,66.7191168107579,"CO2St_t"
