"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
5.975,8.174,8.489,8.56,8.994,11.08,0.739528786202998,"Depth"
1051,1165,1200,1275,1274,4385,267.489880081744,"XCO2Dpp"
124.5,188.7,227.8,265.3,311.8,1398,128.60603141458,"XCH4Dpp"
20.63,20.74,20.75,20.75,20.77,20.85,0.0253414551679461,"TempC"
90.83,91.13,91.2,91.2,91.24,93.81,0.218546408133773,"SPCuScm"
0.9915,1.233,1.312,1.287,1.341,1.546,0.0795615945245788,"ChlARFU"
4.601,5.147,5.482,5.372,5.569,6.334,0.301368914050325,"ChlAugL"
0.2379,0.4593,0.4696,0.4649,0.4751,0.5067,0.0192287859381772,"BGAPCRFU"
0.2468,0.4806,0.4886,0.4849,0.4939,0.5162,0.019428050800097,"BGAPCgL"
1.082,1.427,1.488,1.462,1.512,1.664,0.0702157142643831,"TurbFNU"
31.64,32.39,32.66,32.77,32.96,44.71,0.87963482256563,"fDOMRFU"
93.75,96.34,97.13,97.79,98.25,136.8,3.33836688610044,"fDOMQSU"
62.45,86.08,86.34,86.06,86.81,88.77,1.70861479808697,"ODOsat"
6.226,7.739,7.765,7.744,7.808,7.921,0.135889732386595,"ODOmgL"
6.989,7.161,7.17,7.168,7.179,7.226,0.0191165596593894,"pH"
8.722,10,10.18,10.26,10.47,12.24,0.427561007437026,"Pressps"
4.277,5.219,5.336,5.3,5.413,6.418,0.190026054893913,"NITRATEU"
0.06197,0.07629,0.07759,0.07717,0.07874,0.08665,0.00276696400802855,"NITRATEM"
0.7664,0.8268,0.8305,0.8289,0.8337,0.8454,0.00743659894881795,"ABS254"
0.3844,0.42,0.4256,0.424,0.4294,0.438,0.0070960012043589,"ABS350"
24.44,25.09,25.16,25.15,25.23,25.39,0.119201964963944,"TINT"
26.07,26.88,26.98,26.96,27.08,27.51,0.169989301959986,"TSPEC"
25.29,25.89,25.93,25.93,25.98,26.09,0.0870204159835022,"TLAMP"
984.5,1121,1151,1209,1208,3881,218.391018657521,"XCO2Dppm_h"
920.8,1070,1091,1114,1129,2582,91.9932581557437,"XCO2Dppm_t"
128.4,200.5,237.2,279.6,316.4,1515,144.157395224075,"XCH4Dppm_h"
92.51,137.3,144.3,160.7,158.3,1652,72.1032178546705,"XCH4Dppm_t"
20.66,20.74,20.76,20.76,20.78,20.9,0.0275873221899535,"TmpC_hy"
20.64,20.74,20.76,20.76,20.78,20.91,0.0281900344409779,"TempC_t"
90.83,91.1,91.17,91.16,91.2,93.76,0.181386418586441,"SPCScm_h"
90.8,91.11,91.18,91.18,91.22,93.97,0.206190295630121,"SPCScm_t"
1.06,1.217,1.292,1.268,1.318,1.492,0.0708240438452804,"ChlARFU_h"
1.035,1.231,1.319,1.293,1.345,1.551,0.0790453074417024,"ChlARFU_t"
4.216,5.041,5.403,5.297,5.506,6.231,0.31006766435507,"ChlAgL_h"
4.147,5.012,5.382,5.283,5.539,6.33,0.346197401262598,"ChlAgL_t"
0.2307,0.4595,0.468,0.4654,0.4745,0.5011,0.0178327574052071,"BGAPCRFU_h"
0.2772,0.464,0.4733,0.4708,0.4786,0.516,0.0143836780436966,"BGAPCRFU_t"
0.2354,0.4827,0.4936,0.4898,0.5007,0.5264,0.0195300463485881,"BGAPCgL_h"
0.3223,0.4823,0.4918,0.4893,0.4974,0.5204,0.0132164441596048,"BGAPCgL_t"
1.049,1.426,1.486,1.458,1.503,1.727,0.069596793931533,"TrbFNU_h"
1.137,1.441,1.496,1.473,1.522,1.609,0.0678155297829617,"TrbFNU_t"
31.54,32.33,32.58,32.69,32.85,43.34,0.820532170593352,"fDOMRFU_h"
30.98,32.18,32.48,32.59,32.79,44.39,0.820131355850483,"fDOMRFU_t"
92,95.5,96.23,96.39,96.85,124.4,1.88613756690179,"fDOMQSU_h"
93.21,95.95,96.75,97.31,97.7,138.3,3.09958877115576,"fDOMQSU_t"
65.53,86.27,86.65,86.45,87.1,89.83,1.59215025740815,"ODOst_h"
73.68,86.39,86.8,86.69,87.29,88.69,1.09969352729382,"ODOst_t"
5.62,7.699,7.731,7.702,7.768,7.905,0.154405715711872,"ODOmgL_h"
6.464,7.732,7.774,7.757,7.81,8.099,0.102803066509293,"ODOmgL_t"
6.76,7.153,7.166,7.161,7.177,7.261,0.0341490854158591,"pH_hyd"
6.945,7.165,7.173,7.173,7.185,7.291,0.0191618232887301,"pH_tau"
0.204,0.3271,0.3954,0.4622,0.5355,2.063,0.220775288212212,"CH4uM"
6428,9146,10620,12380,14150,74610,5770.39780287913,"CH4Sat"
0.1719,0.2769,0.3278,0.3836,0.4342,2.096,0.182935479770936,"CH4M_hy"
6900,10020,12280,14060,16310,76550,6665.41327787561,"CH4St_h"
0.168,0.2095,0.2201,0.2408,0.2387,2.429,0.0973806733308014,"CH4uM_t"
6151,8204,8852,10170,9933,91600,5491.2784545902,"CH4St_t"
42.35,47.78,49.52,52.77,52.65,184.5,11.7948614447657,"CO2uM"
241.5,271.1,277,285.4,288,798.1,34.5041781359294,"CO2Sat"
41.27,46.81,48.18,50.68,50.62,155.7,9.47581742525115,"CO2M_hy"
240.7,271.4,275.6,284,285.2,842.9,34.6112991763479,"CO2St_h"
40.1,44.03,45.01,46.33,46.85,116.2,5.02949523500716,"CO2uM_t"
240.8,275.6,281.2,290.6,291.9,793.2,37.4961316040231,"CO2St_t"
