"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
5.41,13.2,15.31,15.48,17.12,30.51,2.98889764920752,"Depth"
235.5,279.1,283.8,282.1,286.4,455.6,13.11918262491,"XCO2Dpp"
46.47,68.81,73.8,82.52,87.61,287.1,23.4197758717807,"XCH4Dpp"
23.26,23.68,24.25,24.08,24.36,25.03,0.355204418967487,"TempC"
100.5,100.8,101.1,101,101.1,102.2,0.193810507219704,"SPCµScm"
-0.01723,-0.00293,-0.0007749,-0.0003853,0.001924,0.05386,0.00426777120630954,"ChlARFU"
-0.2441,-0.2012,-0.1925,-0.1913,-0.1829,0.05409,0.0187841595354194,"ChlAµgL"
-0.151,-0.138,-0.1359,-0.1346,-0.1305,-0.1227,0.00438171325884741,"BGAPCRFU"
-0.1034,-0.09052,-0.0886,-0.08707,-0.08265,-0.07596,0.00448420004410334,"BGAPCµL"
0.05962,0.6404,0.6851,0.6926,0.7418,1.283,0.0874589294932301,"TurbFNU"
0.8159,0.8544,0.8645,0.8721,0.8832,1.307,0.0331600501492269,"fDOMRFU"
2.694,2.827,2.856,2.871,2.894,4.083,0.0909234324757665,"fDOMQSU"
105.6,107.7,108.2,108.1,108.4,109,0.455101884852228,"ODOsat"
8.82,9.068,9.076,9.085,9.094,9.237,0.0331340890943004,"ODOmgL"
8.057,8.244,8.248,8.249,8.252,8.345,0.0146771907716511,"pH"
5.406,6.382,6.509,6.469,6.583,7.016,0.156086519892001,"Pressps"
230.1,280,284.4,283.7,287.9,488.8,14.6435979258359,"XCO2Dppm_h"
225.4,281.1,285,284.1,288.4,506.5,15.7302520983755,"XCO2Dppm_t"
46.46,67.24,72.27,79.99,85.23,281.6,21.4409068759008,"XCH4Dppm_h"
42,70,75.24,81.59,85.23,438.6,25.4702749173632,"XCH4Dppm_t"
23.24,23.71,24.27,24.11,24.37,25.16,0.357953483705366,"TmpC_hy"
5.558,18.14,21.57,20.16,22.29,24.39,2.7346810772381,"TempC_t"
100.4,100.8,101.1,101,101.1,102.2,0.19405721044505,"SPCµScm_h"
100.4,100.8,101.1,101,101.1,102.1,0.207199054386046,"SPCµScm_t"
-0.01245,-0.001983,0.0004068,0.0007275,0.003007,0.06269,0.00481515428547413,"ChlARFU_h"
-0.01612,-0.002177,5.458e-05,0.0002594,0.002678,0.06146,0.00483278859779285,"ChlARFU_t"
-0.2301,-0.1965,-0.187,-0.1841,-0.1745,0.07917,0.0205872492789256,"ChlAµgL_h"
-0.2387,-0.1962,-0.1879,-0.1864,-0.1779,0.07422,0.0202953074820475,"ChlAµgL_t"
-0.1491,-0.1377,-0.1357,-0.1344,-0.13,-0.1183,0.00441344494180671,"BGAPCRFU_h"
-0.15,-0.138,-0.1355,-0.1343,-0.1296,-0.1177,0.0046909792858028,"BGAPCRFU_t"
-0.1016,-0.09075,-0.08842,-0.08738,-0.08319,-0.07021,0.00423683530949168,"BGAPCµgL_h"
-0.1028,-0.08995,-0.08761,-0.08681,-0.08313,-0.07103,0.00399833386680796,"BGAPCµgL_t"
0.01416,0.5877,0.6434,0.642,0.691,1.044,0.0918902133957271,"TrbFNU_h"
0.05013,0.5912,0.6329,0.6359,0.6799,1.27,0.0848964380600492,"TrbFNU_t"
0.8198,0.857,0.8679,0.8753,0.885,1.319,0.0329766496089342,"fDOMRFU_h"
0.8061,0.852,0.8614,0.8699,0.8799,1.307,0.0332124711022073,"fDOMRFU_t"
2.648,2.797,2.829,2.848,2.879,4.028,0.0901538718845398,"fDOMQSU_h"
2.671,2.805,2.832,2.854,2.883,4.07,0.0932533195315096,"fDOMQSU_t"
105.5,107.7,108.2,108.1,108.4,109.1,0.421592881510518,"ODOst_h"
105.5,107.7,108.1,108,108.3,109.1,0.424711939168323,"ODOst_t"
8.835,9.068,9.076,9.085,9.103,9.26,0.0335576195468386,"ODOmgL_h"
8.789,9.052,9.064,9.07,9.086,9.225,0.0350849454665569,"ODOmgL_t"
8.066,8.245,8.249,8.25,8.253,8.332,0.0135391515581006,"pH_hyd"
0.7491,5.913,7.159,6.704,7.662,8.219,1.11469550162922,"pH_tau"
0.07047,0.1065,0.1139,0.1259,0.1326,0.4344,0.0342043940080439,"CH4uM"
2450,3905,4175,4592,4846,15740,1229.56459453273,"CH4Sat"
0.06774,0.1043,0.1114,0.1233,0.1301,0.4397,0.0329437153276712,"CH4M_hy"
2368,3653,3854,4312,4567,16060,1202.91217018855,"CH4St_h"
0.06576,0.1093,0.1188,0.1274,0.1325,0.655,0.0383490876549862,"CH4uM_t"
2163,3595,3877,4214,4390,22000,1289.22590816235,"CH4St_t"
8.722,10.42,10.49,10.46,10.56,16.91,0.459071373244208,"CO2uM"
58.16,71.04,72.07,71.62,72.57,123.4,3.78376511795325,"CO2Sat"
8.892,10.55,10.65,10.66,10.77,18.18,0.53163361837865,"CO2M_hy"
55.08,69.92,71.36,70.67,71.84,119,3.55005845609066,"CO2St_h"
8.557,10.39,10.5,10.46,10.56,17.72,0.499898868414956,"CO2uM_t"
57.71,69.33,71.06,70.19,71.48,116.8,3.43592252350011,"CO2St_t"
