"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.762,3.527,4.073,3.994,4.422,5.483,0.614565477504421,"Depth"
261.9,564.1,615,588.9,639.9,796.6,74.4631469020097,"XCO2Dpp"
520.3,714.8,768,823.5,877.3,1620,156.06333138274,"XCH4Dpp"
24.62,24.9,24.94,24.98,25.03,25.63,0.149500762703201,"TempC"
140.6,142.4,142.7,142.6,142.9,144.3,0.378067796410219,"SPCµScm"
0.7837,0.9935,1.119,1.176,1.303,2.454,0.256091490972448,"ChlARFU"
2.966,3.789,4.132,4.379,4.781,9.402,0.942516366567442,"ChlAµgL"
0.05188,0.111,0.1354,0.1413,0.1637,0.4111,0.0437778106322133,"BGAPCRFU"
0.1024,0.1631,0.1923,0.2017,0.2307,0.4582,0.0547458485787116,"BGAPCµL"
1.815,3.011,3.221,3.174,3.405,4.119,0.34888858718148,"TurbFNU"
6.319,6.582,6.712,6.684,6.785,7.054,0.131329393364168,"fDOMRFU"
18.9,19.66,20.03,19.97,20.27,20.9,0.409073350868279,"fDOMQSU"
94.94,100.2,100.9,101.9,102.8,123.5,2.84811860220582,"ODOsat"
7.869,8.264,8.334,8.413,8.488,9.759,0.240912187279159,"ODOmgL"
8.009,8.092,8.109,8.143,8.157,8.654,0.0823215153127611,"pH"
4.896,5.424,5.593,5.551,5.677,6.132,0.154886309478638,"Pressps"
279.5,573.5,623.1,596.4,645.2,802.1,73.4666184240923,"XCO2Dppm_h"
281.8,574.6,633.2,604.3,659,832.7,80.9053254226849,"XCO2Dppm_t"
589.4,740.5,789.4,856.1,919.2,1637,167.176700328945,"XCH4Dppm_h"
585.9,779,830.8,901.3,925.9,1971,203.131932263148,"XCH4Dppm_t"
24.64,24.9,24.94,24.98,25.04,25.65,0.152873626699275,"TmpC_hy"
24.56,24.87,24.91,24.96,25.02,25.64,0.155754734423742,"TempC_t"
140.5,142.3,142.7,142.6,142.9,143.9,0.403435769140108,"SPCµScm_h"
140.6,142.3,142.6,142.6,142.8,144.5,0.350764675863884,"SPCµScm_t"
0.786,1.028,1.159,1.225,1.364,2.606,0.278515326336946,"ChlARFU_h"
0.7822,1.003,1.113,1.169,1.292,2.387,0.23274347236836,"ChlARFU_t"
3.052,3.972,4.498,4.76,5.369,10.37,1.09372300465687,"ChlAµgL_h"
2.998,3.986,4.392,4.731,5.196,11.23,1.12551418354083,"ChlAµgL_t"
0.05453,0.1076,0.1348,0.1414,0.1692,0.4768,0.0467005909806774,"BGAPCRFU_h"
0.05964,0.1097,0.1295,0.1404,0.1606,0.6739,0.0473179830529078,"BGAPCRFU_t"
0.1046,0.1585,0.1888,0.1979,0.228,0.4341,0.052056754168372,"BGAPCµgL_h"
0.1045,0.1654,0.1897,0.2015,0.227,0.5722,0.0551584306306994,"BGAPCµgL_t"
1.831,3.16,3.381,3.312,3.547,4.453,0.327204462339535,"TrbFNU_h"
1.834,3.228,3.404,3.375,3.618,4.337,0.346788489003502,"TrbFNU_t"
6.331,6.587,6.728,6.704,6.813,7.159,0.144822725350255,"fDOMRFU_h"
6.305,6.591,6.724,6.7,6.825,7.131,0.148267170735897,"fDOMRFU_t"
18.91,19.71,20.11,20.03,20.35,21.27,0.428667706184273,"fDOMQSU_h"
18.94,19.71,20.11,20.02,20.32,21.14,0.397529319750576,"fDOMQSU_t"
94.9,99.97,100.9,101.8,103,116.4,2.8174250851219,"ODOst_h"
93.74,100.3,101.2,102.3,103.2,119.3,3.14474043568166,"ODOst_t"
7.821,8.244,8.309,8.4,8.466,10.09,0.260071494663256,"ODOmgL_h"
7.789,8.271,8.338,8.429,8.504,10.88,0.268329908600102,"ODOmgL_t"
8.025,8.094,8.117,8.151,8.166,8.686,0.0882950810514084,"pH_hyd"
8.01,8.101,8.125,8.158,8.181,8.66,0.0859155183997384,"pH_tau"
0.807,1.114,1.186,1.266,1.357,2.464,0.22144647920807,"CH4uM"
26930,38240,40030,43560,46480,85920,7930.42059468498,"CH4Sat"
0.9044,1.108,1.177,1.261,1.343,2.428,0.225167133278124,"CH4M_hy"
30460,39090,41830,44890,47010,86940,8690.99680510621,"CH4St_h"
0.7992,1.116,1.206,1.314,1.352,3.056,0.31483871151525,"CH4uM_t"
22690,38520,42090,45620,47760,93400,10498.673323122,"CH4St_t"
9.798,20.46,22.11,21.24,23.01,29.91,2.64692341320086,"CO2uM"
64.29,140,151.7,145.7,160,189.4,20.0958637290573,"CO2Sat"
9.865,20.89,22.49,21.64,23.42,29.06,2.69260019311465,"CO2M_hy"
69.03,143.9,156.1,149,161.8,184,18.9021208619145,"CO2St_h"
10.53,20.72,22.58,21.55,23.52,28.58,2.88677154425277,"CO2uM_t"
69.23,143,157.3,149.5,163.7,223.3,21.2080074512074,"CO2St_t"
