"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.246,2.258,2.963,2.955,3.472,5.995,0.798208395869901,"Depth"
390.2,416.2,421.6,423.1,429.1,480.7,9.44270997916582,"XCO2Dpp"
57.23,94.47,98.49,96.56,100.7,120.7,8.08458164453224,"XCH4Dpp"
24.15,24.26,24.28,24.3,24.32,24.7,0.0605336643123432,"TempC"
13.14,13.19,13.19,13.19,13.19,13.3,0.00894498974639219,"SPCµScm"
0.09527,0.1167,0.1201,0.1197,0.1229,0.1662,0.00540325086279139,"ChlARFU"
0.1912,0.2901,0.3019,0.3015,0.3112,0.4722,0.0236594994645555,"ChlAµgL"
0.005608,0.0682,0.07639,0.07353,0.07939,0.1713,0.0105263680016371,"BGAPCRFU"
0.03169,0.1173,0.1247,0.1229,0.1287,0.1805,0.0101329633541311,"BGAPCµL"
0.5,1.039,1.119,1.093,1.178,2.024,0.131543501399613,"TurbFNU"
0.764,0.8535,0.872,0.8678,0.8793,0.9376,0.0182815676263274,"fDOMRFU"
2.709,2.824,2.863,2.861,2.892,3.165,0.0462307672952881,"fDOMQSU"
98.38,99.83,99.99,99.93,100.1,101.1,0.267378083074461,"ODOsat"
8.242,8.349,8.363,8.358,8.369,8.584,0.0232501730012559,"ODOmgL"
6.751,6.856,6.867,6.867,6.879,7.074,0.0244822331750922,"pH"
4.948,5.538,5.622,5.612,5.712,6.435,0.145313509245964,"Pressps"
385.9,414.7,419.5,421.9,429.2,468,10.5571685816045,"XCO2Dppm_h"
381.3,414.8,420.9,423.8,432.4,503.9,12.6045414876224,"XCO2Dppm_t"
52.08,93.89,99.88,98.63,104.7,128.9,9.85516133166454,"XCH4Dppm_h"
90.22,116.5,119.2,121.4,125.7,274.9,9.9223330287289,"XCH4Dppm_t"
24.16,24.26,24.28,24.3,24.33,24.69,0.0605071819548608,"TmpC_hy"
24.17,24.28,24.3,24.33,24.36,24.72,0.0678782666665667,"TempC_t"
13.13,13.19,13.19,13.19,13.19,13.25,0.00871022169846186,"SPCµScm_h"
13.13,13.18,13.19,13.19,13.19,13.23,0.00682719396002314,"SPCµScm_t"
0.09769,0.1209,0.1242,0.1246,0.1284,0.1756,0.00669414178325447,"ChlARFU_h"
0.09469,0.119,0.1229,0.1232,0.1271,0.1642,0.00682584230201987,"ChlARFU_t"
0.1805,0.2948,0.3075,0.3087,0.3218,0.5799,0.0257456094499853,"ChlAµgL_h"
0.1934,0.2913,0.3005,0.3051,0.3151,0.5569,0.0273725532461424,"ChlAµgL_t"
0.01976,0.07605,0.07978,0.07982,0.08349,0.164,0.00964934892087699,"BGAPCRFU_h"
0.0266,0.07514,0.07893,0.07901,0.08357,0.1789,0.00946773930490651,"BGAPCRFU_t"
0.05587,0.1168,0.1206,0.1203,0.125,0.2108,0.00872324032089202,"BGAPCµgL_h"
0.05305,0.1144,0.1184,0.1177,0.122,0.1565,0.00926792391655707,"BGAPCµgL_t"
0.4908,1.1,1.213,1.175,1.287,1.682,0.16333830216129,"TrbFNU_h"
0.5119,1.103,1.183,1.17,1.28,2.022,0.152458783526654,"TrbFNU_t"
0.8118,0.8492,0.8687,0.8684,0.8851,0.9447,0.0215620345951412,"fDOMRFU_h"
0.8175,0.8631,0.8779,0.8759,0.8873,0.9517,0.0153114388848831,"fDOMRFU_t"
2.684,2.819,2.854,2.859,2.896,3.118,0.0537488360134551,"fDOMQSU_h"
2.663,2.816,2.872,2.868,2.917,3.14,0.062982129128594,"fDOMQSU_t"
98.3,99.54,99.71,99.68,99.84,101.3,0.2864279364626,"ODOst_h"
98.26,99.88,100,100,100.2,101.7,0.360190296314335,"ODOst_t"
8.232,8.343,8.356,8.352,8.368,8.509,0.0274156503549764,"ODOmgL_h"
8.207,8.337,8.353,8.351,8.367,8.488,0.0302955887422852,"ODOmgL_t"
6.743,6.847,6.858,6.867,6.881,7.158,0.035782299646711,"pH_hyd"
6.733,6.841,6.849,6.849,6.857,7.05,0.0214479659453234,"pH_tau"
0.08816,0.1454,0.1505,0.15,0.1556,0.2013,0.0134340500463859,"CH4uM"
3089,5155,5302,5257,5402,7029,419.407085665994,"CH4Sat"
0.08229,0.1427,0.1505,0.1481,0.1557,0.1958,0.013953767800279,"CH4M_hy"
3076,4983,5223,5127,5362,6803,423.382292240866,"CH4St_h"
0.1354,0.1946,0.2005,0.2086,0.2157,0.5653,0.0290432886904745,"CH4uM_t"
4860,6523,6746,6833,6986,13560,595.287166716233,"CH4St_t"
14.28,15.32,15.55,15.6,15.87,18.11,0.359902451777647,"CO2uM"
97.49,103.2,104.8,105.2,106.9,120.2,2.66771021217736,"CO2Sat"
14.34,15.26,15.45,15.51,15.79,17.01,0.356024791068181,"CO2M_hy"
97.45,103.9,105.1,105.8,107.6,122,2.81053911574066,"CO2St_h"
14.36,15.35,15.54,15.64,15.92,19.54,0.432461443128487,"CO2uM_t"
97.4,103.3,104.6,105,106.5,129.1,2.54967364278682,"CO2St_t"
