"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
1.808,8.164,9.9,9.758,11.46,20.31,2.3643238739005,"Depth"
215.4,304.2,314.9,309.9,321.5,345.7,17.5381590262529,"XCO2Dpp"
36.61,53.21,58.89,62.52,67.92,119.4,13.7976200215545,"XCH4Dpp"
21.55,21.63,21.66,21.68,21.7,22.04,0.0690820752258902,"TempC"
78.73,78.91,78.92,78.92,78.93,78.99,0.021038571710677,"SPCµScm"
0.05805,0.07153,0.07226,0.07244,0.07295,0.09162,0.00222354139369972,"ChlARFU"
0.04865,0.09901,0.1017,0.1032,0.1046,0.1692,0.00954231299762605,"ChlAµgL"
-0.05482,-0.04807,-0.0467,-0.04702,-0.04586,-0.03689,0.00163718780572015,"BGAPCRFU"
-0.01599,-0.0004472,0.000556,0.0004125,0.001382,0.005877,0.00153940717461915,"BGAPCµL"
0.2827,1.339,1.455,1.402,1.561,1.955,0.247978171384036,"TurbFNU"
1.013,1.081,1.086,1.095,1.096,1.388,0.0350914175788646,"fDOMRFU"
3.315,3.481,3.497,3.52,3.528,4.215,0.087141257476905,"fDOMQSU"
98.91,101.1,101.6,101.7,102,105.2,0.786594380683563,"ODOsat"
8.698,8.891,8.928,8.93,8.955,9.17,0.0573151141319962,"ODOmgL"
8.072,8.092,8.104,8.116,8.125,8.341,0.0390558250053125,"pH"
5.762,7.2,7.343,7.256,7.415,7.789,0.264347705060247,"Pressps"
220.3,303.6,314.6,308.4,320.1,332,18.0682417042039,"XCO2Dppm_h"
221.5,307,316.7,310.9,321.8,333.4,17.1838880015505,"XCO2Dppm_t"
36.67,51.35,56.31,60.08,64.5,126,13.89850986209,"XCH4Dppm_h"
32.81,46.53,54.32,61.02,66.38,184.6,21.5931520483541,"XCH4Dppm_t"
21.54,21.63,21.66,21.68,21.7,22.07,0.074479442651906,"TmpC_hy"
21.55,21.62,21.65,21.67,21.69,22.06,0.0756201195650516,"TempC_t"
78.32,78.89,78.91,78.9,78.92,78.97,0.0392490651367522,"SPCµScm_h"
78.27,78.87,78.89,78.88,78.91,78.97,0.050654732943312,"SPCµScm_t"
0.05933,0.07161,0.07226,0.07263,0.07319,0.08696,0.0022704194806462,"ChlARFU_h"
0.06277,0.07153,0.07211,0.07238,0.07283,0.0886,0.00199598145883093,"ChlARFU_t"
0.04861,0.09892,0.1033,0.1043,0.107,0.169,0.0097359492579549,"ChlAµgL_h"
0.05505,0.09999,0.1029,0.1049,0.1072,0.1737,0.0106385916213513,"ChlAµgL_t"
-0.05424,-0.04751,-0.04667,-0.04679,-0.04603,-0.042,0.00118454078302613,"BGAPCRFU_h"
-0.06339,-0.04745,-0.04617,-0.04654,-0.04538,-0.03445,0.00188962702952184,"BGAPCRFU_t"
-0.01166,-0.001549,-0.0006435,-0.0008654,-8.627e-05,0.004986,0.00132811001071257,"BGAPCµgL_h"
-0.01905,-0.0006929,0.0002588,3.589e-05,0.001237,0.02496,0.00199969910442027,"BGAPCµgL_t"
0.2755,1.258,1.397,1.332,1.485,1.955,0.239674388470288,"TrbFNU_h"
0.2647,1.288,1.396,1.342,1.485,1.856,0.218019360133557,"TrbFNU_t"
1.016,1.077,1.082,1.09,1.091,1.356,0.0302294558501421,"fDOMRFU_h"
1.032,1.083,1.088,1.097,1.099,1.373,0.0333933636418139,"fDOMRFU_t"
3.297,3.484,3.503,3.528,3.539,4.335,0.0980428549836661,"fDOMQSU_h"
3.25,3.478,3.494,3.517,3.531,4.323,0.0856799071860058,"fDOMQSU_t"
98.98,101.3,101.7,101.8,102.1,104.9,0.659017547712055,"ODOst_h"
98.4,101.1,101.6,101.6,101.9,104.7,0.732486197026968,"ODOst_t"
8.719,8.915,8.953,8.955,8.988,9.24,0.0578567328528565,"ODOmgL_h"
8.678,8.895,8.93,8.932,8.957,9.153,0.0552640000490276,"ODOmgL_t"
8.066,8.093,8.106,8.119,8.128,8.334,0.0406236897817686,"pH_hyd"
8.069,8.089,8.1,8.112,8.12,8.339,0.0388160824318177,"pH_tau"
0.06039,0.08413,0.09409,0.09962,0.1075,0.1934,0.0228321133841976,"CH4uM"
1935,2805,3075,3232,3476,6603,656.755691362243,"CH4Sat"
0.05822,0.08457,0.09127,0.09895,0.1063,0.1954,0.0230480023906583,"CH4M_hy"
1982,2745,3074,3308,3608,6778,816.617595263627,"CH4St_h"
0.05468,0.07804,0.08884,0.09896,0.1077,0.2626,0.031805183805553,"CH4uM_t"
1404,2413,2666,3055,3254,9149,1084.07288034933,"CH4St_t"
8.398,12.1,12.55,12.32,12.77,13.68,0.681642104578071,"CO2uM"
54.29,75.76,78.45,77.03,79.89,87.68,4.38217652991464,"CO2Sat"
8.3,12.15,12.6,12.35,12.83,13.29,0.714768988548704,"CO2M_hy"
54.51,76.77,79.15,77.7,80.43,83.31,4.28257403634952,"CO2St_h"
8.349,12.08,12.49,12.23,12.71,13.27,0.754504387923603,"CO2uM_t"
53,76.25,79.06,77.55,80.58,86.42,4.57677033123748,"CO2St_t"
