"Min","Q1","Median","Mean","Q3","Max","sd","Variable"
832.9,946.1,976.9,1010,1026,2422,128.940876912101,"XCO2Dpp"
254.5,385.7,421.1,429.6,469.2,683.9,60.401427892885,"XCH4Dpp"
23.31,23.41,23.44,23.46,23.49,23.98,0.0796546777568745,"TempC"
99.78,100,100.1,100.2,100.2,102.1,0.245726058424248,"SPCµScm"
0.2945,0.3295,0.3378,0.3363,0.3424,0.3604,0.00828303165181904,"ChlARFU"
1.022,1.145,1.183,1.177,1.206,1.283,0.0388745438886803,"ChlAµgL"
-0.05456,-0.02103,-0.01897,-0.01987,-0.01775,-0.01101,0.0036730199914462,"BGAPCRFU"
-0.00668,0.0269,0.02928,0.02837,0.03053,0.0394,0.00347769353508953,"BGAPCµL"
0.8786,1.274,1.365,1.381,1.47,2.066,0.147667725568625,"TurbFNU"
10.17,11.29,11.44,11.51,11.77,12.76,0.305671139953367,"fDOMRFU"
30.38,33.49,33.92,34.12,34.76,38.15,0.88364329527884,"fDOMQSU"
90.18,93.38,93.52,93.65,93.83,96.26,0.493941498941704,"ODOsat"
7.481,7.94,7.948,7.953,7.961,8.143,0.0360737001279471,"ODOmgL"
7.294,7.616,7.619,7.614,7.624,7.688,0.0296258121402043,"pH"
2.786,3.238,3.305,3.29,3.355,3.548,0.0875528309485131,"Pressps"
790.5,931.7,968.5,1000,1021,2339,133.575637050067,"XCO2Dppm_h"
794.1,935.7,971.4,1005,1025,2399,139.281425773535,"XCO2Dppm_t"
242.1,378.6,418.7,426.7,473.6,652.5,63.4844236593331,"XCH4Dppm_h"
260.7,365.3,409.5,428.6,481.5,849.5,83.2632153537665,"XCH4Dppm_t"
23.33,23.4,23.42,23.45,23.47,23.89,0.0754475765026613,"TmpC_hy"
23.32,23.39,23.41,23.44,23.47,23.93,0.0787171049747975,"TempC_t"
99.73,100,100.1,100.2,100.2,102.3,0.251975174895449,"SPCµScm_h"
99.76,100,100.1,100.2,100.2,102.1,0.247052800301209,"SPCµScm_t"
0.2993,0.3305,0.3418,0.3392,0.347,0.3966,0.0100398392783937,"ChlARFU_h"
0.3039,0.3361,0.3453,0.3438,0.351,0.4209,0.00991777619585556,"ChlARFU_t"
1.004,1.147,1.179,1.173,1.197,1.282,0.0351469912266992,"ChlAµgL_h"
0.9914,1.152,1.185,1.179,1.205,1.32,0.0343182362527574,"ChlAµgL_t"
-0.06804,-0.02177,-0.01964,-0.02057,-0.01839,-0.01031,0.00405341502383149,"BGAPCRFU_h"
-0.06013,-0.02091,-0.01858,-0.01952,-0.01713,-0.01008,0.00413108675638428,"BGAPCRFU_t"
-0.01167,0.0263,0.02838,0.02732,0.02943,0.03999,0.00405716767725605,"BGAPCµgL_h"
-0.00678,0.02554,0.0271,0.0266,0.02874,0.04155,0.0035712970900069,"BGAPCµgL_t"
1.031,1.35,1.433,1.44,1.517,1.97,0.131770884363998,"TrbFNU_h"
0.9473,1.273,1.343,1.355,1.43,2.277,0.129229999873001,"TrbFNU_t"
10.61,11.28,11.42,11.51,11.74,12.89,0.289510475218946,"fDOMRFU_h"
9.834,11.25,11.41,11.49,11.75,12.36,0.316516645629578,"fDOMRFU_t"
32.27,33.4,33.76,34.02,34.72,37.1,0.832659477521493,"fDOMQSU_h"
32.07,33.48,33.91,34.16,34.79,40.45,0.848833831608991,"fDOMQSU_t"
89.09,93.19,93.32,93.44,93.6,96.09,0.482383061758066,"ODOst_h"
89.14,93.34,93.48,93.59,93.71,96.41,0.524299997203666,"ODOst_t"
7.601,7.956,7.963,7.972,7.985,8.163,0.0349826479558785,"ODOmgL_h"
7.618,7.949,7.96,7.967,7.977,8.175,0.0387799294090932,"ODOmgL_t"
7.3,7.616,7.621,7.616,7.627,7.706,0.0327728710872336,"pH_hyd"
7.362,7.619,7.623,7.62,7.627,7.718,0.0263958720735023,"pH_tau"
0.3665,0.573,0.632,0.6435,0.714,0.9884,0.0955232075056189,"CH4uM"
12090,19580,21690,22130,24720,35650,3377.74309911834,"CH4Sat"
0.366,0.5712,0.6341,0.6457,0.7184,0.9943,0.0985215570906382,"CH4M_hy"
12240,19940,21850,22490,25150,34950,3451.00869090172,"CH4St_h"
0.4084,0.5562,0.6244,0.6563,0.7336,1.431,0.133469388465742,"CH4uM_t"
14640,19180,21120,22600,25410,45980,4669.60048916812,"CH4St_t"
29.92,34.92,36.23,37.27,37.89,82.17,4.62822278825544,"CO2uM"
193.1,229.8,237.2,243.3,246.9,546.5,28.7606585811294,"CO2Sat"
28.85,34.86,36.05,37.01,37.74,77.07,4.36829065035651,"CO2M_hy"
190.8,231.8,239.1,245.7,248.3,573.9,30.8427829526615,"CO2St_h"
29,34.87,36.29,37.26,37.85,89.8,4.96668881466534,"CO2uM_t"
198,232.6,242.2,250.1,254.6,633,35.7585997483768,"CO2St_t"
